source_genre,album_count,track_count,sources
1996,1,10,musicbrainz
2 step,1,9,musicbrainz
aaron,1,15,discogs;musicbrainz
abstract,33,370,discogs;musicbrainz
abstract hip hop,7,135,discogs;musicbrainz
acid,13,72,discogs;musicbrainz
acid breaks,1,12,musicbrainz
acid house,1,5,discogs;musicbrainz
acid jazz,3,41,discogs;musicbrainz
acid rock,6,58,discogs;musicbrainz
acid techno,12,87,discogs;musicbrainz
acoustic,20,207,discogs;musicbrainz
adult alternative pop,1,12,musicbrainz
adult contemporary,4,51,discogs;musicbrainz
african,4,30,discogs;musicbrainz
afro cuban,1,4,discogs
afro cuban jazz,2,27,discogs;musicbrainz
afro house,1,16,musicbrainz
afro jazz,4,39,discogs;musicbrainz
afrobeat,19,107,discogs;musicbrainz
afrobeats,2,29,musicbrainz
album rock,6,62,discogs;musicbrainz
alt country,1,11,musicbrainz
alt pop,6,67,discogs;musicbrainz
alt rock,2,16,musicbrainz
alternative,14,198,discogs;musicbrainz
alternative and punk,15,218,discogs;musicbrainz
alternative country,14,155,discogs;musicbrainz
alternative dance,10,105,discogs;musicbrainz
alternative folk,7,86,discogs;musicbrainz
alternative hip hop,12,208,discogs;musicbrainz
alternative metal,3,41,discogs;musicbrainz
alternative pop,22,298,discogs;musicbrainz
alternative punk,8,96,discogs;musicbrainz
alternative r and b,26,359,discogs;musicbrainz
alternative rap,1,16,discogs;musicbrainz
alternative rock,225,3040,discogs;musicbrainz
am pop,3,39,musicbrainz
ambient,293,2796,discogs;musicbrainz
ambient americana,4,31,musicbrainz
ambient dub,1,8,musicbrainz
ambient pop,12,140,discogs;musicbrainz
ambient techno,6,51,discogs;musicbrainz
american primitive guitar,1,4,discogs;musicbrainz
americana,13,168,discogs;musicbrainz
américain,2,15,musicbrainz
anarcho punk,1,10,musicbrainz
and country,96,982,discogs;musicbrainz
animal on cover,2,21,discogs;musicbrainz
aor,3,31,discogs;musicbrainz
arena rock,5,47,discogs;musicbrainz
art pop,41,499,discogs;musicbrainz
