genre,album_count,track_count,sources,tier
rock,1012,12172,discogs;musicbrainz,core
electronic,679,7096,discogs;musicbrainz,core
indie rock,641,7866,discogs;musicbrainz,core
pop,399,4773,discogs;musicbrainz,core
jazz,297,2734,discogs;musicbrainz,core
ambient,293,2796,discogs;musicbrainz,core
experimental,286,3071,discogs;musicbrainz,core
alternative rock,225,3040,discogs;musicbrainz,core
indie pop,206,2545,discogs;musicbrainz,core
lo-fi,133,1661,discogs;musicbrainz,core
funk / soul,116,1293,discogs;musicbrainz,core
hip hop,106,1493,discogs;musicbrainz,core
"folk, world, country",96,982,discogs,core
synth-pop,95,1111,discogs;musicbrainz,core
post-punk,94,1281,discogs;musicbrainz,core
dream pop,91,1104,discogs;musicbrainz,core
art rock,89,1029,discogs;musicbrainz,core
psychedelic rock,88,1051,discogs;musicbrainz,core
funk,86,1009,discogs;musicbrainz,core
post-rock,85,899,musicbrainz,core
soul,82,979,discogs;musicbrainz,core
folk rock,81,946,discogs;musicbrainz,core
pop rock,79,1070,discogs;musicbrainz,core
punk,79,1114,discogs;musicbrainz,core
shoegaze,78,877,discogs;musicbrainz,core
downtempo,74,839,discogs;musicbrainz,core
folk,64,738,discogs;musicbrainz,core
contemporary r&b,63,883,discogs;musicbrainz,core
idm,63,709,discogs;musicbrainz,core
noise rock,62,765,discogs;musicbrainz,core
indie folk,60,748,musicbrainz,core
neo-psychedelia,54,631,musicbrainz,core
new age,54,448,discogs;musicbrainz,core
experimental rock,52,580,musicbrainz,core
classical,50,496,discogs;musicbrainz,core
new wave,50,697,discogs;musicbrainz,core
garage rock,48,672,discogs;musicbrainz,core
singer-songwriter,47,549,musicbrainz,core
drone,46,405,discogs;musicbrainz,core
electro,46,378,discogs;musicbrainz,core
leftfield,46,482,discogs;musicbrainz,core
r&b,46,610,musicbrainz,core
techno,46,297,discogs;musicbrainz,core
contemporary jazz,43,444,discogs;musicbrainz,core
art pop,41,499,musicbrainz,core
