genre,count
rock,532
electronic,388
indie rock,242
pop,206
jazz,185
ambient,144
funk / soul,116
experimental,113
"folk, world, & country",96
alternative rock,70
indie pop,70
hip hop,67
lo-fi,60
soul,42
synth-pop,40
downtempo,39
classical,37
folk rock,37
punk,36
post rock,35
psychedelic rock,34
art rock,32
leftfield,31
contemporary r&b,30
contemporary jazz,28
idm,28
minimal,28
folk,26
funk,26
abstract,25
dream pop,23
electro,23
new age,23
conscious,22
fusion,22
techno,22
pop rock,20
shoegaze,20
jazz-funk,18
acoustic,17
new wave,17
post bop,17
garage rock,16
modal,16
stage & screen,16
jazzy hip-hop,15
post-punk,15
dance-pop,14
afrobeat,13
avantgarde,13
ballad,13
disco,13
ethereal,13
hard bop,13
house,12
latin,12
modern classical,11
slowcore,11
soul-jazz,11
noise rock,10
prog rock,10
boom bap,9
contemporary,9
drone,9
hardcore,9
instrumental,9
neo soul,9
noise,9
psychedelic,9
acid,8
avant-garde jazz,8
cool jazz,8
rhythm & blues,8
soundtrack,8
country rock,7
deep house,7
future jazz,7
heavy metal,7
hypnagogic pop,7
math rock,7
alt-pop,6
blues rock,6
free jazz,6
jangle pop,6
vocal,6
emo,5
glam,5
glitch,5
hard rock,5
j-pop,5
krautrock,5
score,5
soft rock,5
trip hop,5
balearic,4
blues,4
country,4
dub,4
easy listening,4
hyperpop,4
industrial,4
jazz-rock,4
latin jazz,4
lounge,4
neo-classical,4
no wave,4
non-music,4
space rock,4
trap,4
african,3
berlin-school,3
bop,3
bossa nova,3
breakbeat,3
classic rock,3
drum n bass,3
dubstep,3
europop,3
gospel,3
hardcore hip-hop,3
holiday,3
mpb,3
post-hardcore,3
rnb/swing,3
spoken word,3
afro-cuban jazz,2
aor,2
baroque pop,2
bass music,2
boogie,2
bossanova,2
breaks,2
broken beat,2
bubblegum,2
chillwave,2
dub techno,2
electro house,2
electroacoustic,2
footwork,2
grunge,2
jungle,2
nu-disco,2
post-modern,2
sludge metal,2
spiritual jazz,2
stoner rock,2
surf,2
synthwave,2
theme,2
