genre,reason,apis,count
,empty,['lastfm'],1
00s,year_or_decade,['lastfm'],1
100,pure_numeric,['lastfm'],1
1001 albums you must hear before you die,list_ranking_meta,['lastfm'],1
1002,pure_numeric,['lastfm'],1
10s,year_or_decade,['lastfm'],1
11,pure_numeric,['lastfm'],1
16bit 44100hz,audio_tech_meta,['lastfm'],1
1950s,year_or_decade,['lastfm'],1
1957,pure_numeric,['lastfm'],1
1958,pure_numeric,['lastfm'],1
1959,pure_numeric,['lastfm'],1
1960,pure_numeric,['lastfm'],1
1961,pure_numeric,['lastfm'],1
1962,pure_numeric,['lastfm'],1
1963,pure_numeric,['lastfm'],1
1964,pure_numeric,['lastfm'],1
1965,pure_numeric,['lastfm'],1
1966,pure_numeric,['lastfm'],1
1967,pure_numeric,['lastfm'],1
1968,pure_numeric,['lastfm'],1
1969,pure_numeric,['lastfm'],1
1970,pure_numeric,['lastfm'],1
1970s,year_or_decade,['lastfm'],1
1971,pure_numeric,['lastfm'],1
1972,pure_numeric,['lastfm'],1
1973,pure_numeric,['lastfm'],1
1974,pure_numeric,['lastfm'],1
1975,pure_numeric,['lastfm'],1
1976,pure_numeric,['lastfm'],1
1977,pure_numeric,['lastfm'],1
1978,pure_numeric,['lastfm'],1
1979,pure_numeric,['lastfm'],1
1980,pure_numeric,['lastfm'],1
1980s,year_or_decade,['lastfm'],1
1981,pure_numeric,['lastfm'],1
1982,pure_numeric,['lastfm'],1
1983,pure_numeric,['lastfm'],1
1984,pure_numeric,['lastfm'],1
1985,pure_numeric,['lastfm'],1
1986,pure_numeric,['lastfm'],1
1987,pure_numeric,['lastfm'],1
1988,pure_numeric,['lastfm'],1
1989,pure_numeric,['lastfm'],1
1990,pure_numeric,['lastfm'],1
1990s,year_or_decade,['lastfm'],1
1991,pure_numeric,['lastfm'],1
1992,pure_numeric,['lastfm'],1
1993,pure_numeric,['lastfm'],1
1994,pure_numeric,['lastfm'],1
1995,pure_numeric,['lastfm'],1
1996,pure_numeric,"['lastfm', 'musicbrainz']",2
1997,pure_numeric,['lastfm'],1
1998,pure_numeric,['lastfm'],1
1999,pure_numeric,['lastfm'],1
2000,pure_numeric,['lastfm'],1
2000s,year_or_decade,['lastfm'],1
2001,pure_numeric,['lastfm'],1
2002,pure_numeric,['lastfm'],1
2003,pure_numeric,['lastfm'],1
2004,pure_numeric,['lastfm'],1
2005,pure_numeric,['lastfm'],1
2006,pure_numeric,['lastfm'],1
2007,pure_numeric,['lastfm'],1
2008,pure_numeric,['lastfm'],1
2009,pure_numeric,['lastfm'],1
2010,pure_numeric,['lastfm'],1
2010s,year_or_decade,"['lastfm', 'musicbrainz']",2
2011,pure_numeric,['lastfm'],1
2012,pure_numeric,['lastfm'],1
2012 releases,list_or_release_meta,['lastfm'],1
2013,pure_numeric,['lastfm'],1
2013 releases,list_or_release_meta,['lastfm'],1
2014,pure_numeric,['lastfm'],1
2014 releases,list_or_release_meta,['lastfm'],1
2015,pure_numeric,['lastfm'],1
2016,pure_numeric,['lastfm'],1
2016 releases,list_or_release_meta,['lastfm'],1
2017,pure_numeric,['lastfm'],1
2017 releases,list_or_release_meta,['lastfm'],1
2018,pure_numeric,['lastfm'],1
2019,pure_numeric,['lastfm'],1
2020,pure_numeric,['lastfm'],1
2020s,year_or_decade,['lastfm'],1
2021,pure_numeric,['lastfm'],1
2021 releases,list_or_release_meta,['lastfm'],1
2022,pure_numeric,['lastfm'],1
2022 releases,list_or_release_meta,['lastfm'],1
2023,pure_numeric,['lastfm'],1
2023 releases,list_or_release_meta,['lastfm'],1
2024,pure_numeric,['lastfm'],1
2025,pure_numeric,['lastfm'],1
3,pure_numeric,['lastfm'],1
50s,year_or_decade,['lastfm'],1
