genre,album_count,top_neighbors
rock,1013,indie rock:0.52; alternative rock:0.20; pop:0.19; electronic:0.13; experimental:0.12
electronic,679,ambient:0.34; experimental:0.24; pop:0.16; rock:0.13; jazz:0.10
indie rock,642,rock:0.52; alternative rock:0.23; indie pop:0.14; pop:0.14; experimental:0.10
pop,400,indie pop:0.29; rock:0.19; electronic:0.16; indie rock:0.14; pop rock:0.09
jazz,297,contemporary jazz:0.14; funk:0.13; soul:0.11; jazz funk:0.10; electronic:0.10
ambient,293,electronic:0.34; experimental:0.19; new age:0.16; drone:0.12; classical:0.10
experimental,286,electronic:0.24; ambient:0.19; rock:0.12; indie rock:0.10; idm:0.10
alternative rock,225,indie rock:0.23; rock:0.20; noise rock:0.06; experimental:0.06; art rock:0.06
indie pop,206,pop:0.29; indie rock:0.14; dream pop:0.12; rock:0.12; pop rock:0.08
lo-fi,0,
funk / soul,0,
hip hop,106,conscious:0.21; neo soul:0.14; boom bap:0.13; jazz rap:0.12; alternative hip hop:0.11
"folk, world, country",0,
synth-pop,0,
post-punk,0,
dream pop,91,shoegaze:0.26; indie pop:0.12; pop:0.08; post rock:0.08; indie rock:0.07
art rock,89,experimental rock:0.13; art pop:0.12; classic rock:0.10; pop rock:0.08; rock:0.07
psychedelic rock,88,psychedelic pop:0.12; garage rock:0.11; garage psych:0.09; rock:0.08; experimental:0.08
funk,160,soul:0.78; jazz:0.13; neo soul:0.12; jazz funk:0.11; hip hop:0.11
post-rock,0,
soul,150,funk:0.78; neo soul:0.13; jazz:0.11; hip hop:0.10; pop soul:0.10
folk rock,81,indie folk:0.16; folk:0.11; americana:0.11; classic rock:0.11; pop rock:0.10
pop rock,79,classic rock:0.11; folk rock:0.10; pop:0.09; art rock:0.08; indie pop:0.08
punk,79,garage rock:0.21; hardcore punk:0.17; punk rock:0.14; noise rock:0.09; hardcore:0.09
shoegaze,78,dream pop:0.26; noise pop:0.12; slacker rock:0.11; slowcore:0.11; indie rock:0.07
downtempo,74,electronic:0.10; ambient:0.09; leftfield:0.09; abstract:0.08; idm:0.08
folk,128,indie folk:0.11; folk rock:0.11; pop:0.06; contemporary folk:0.06; ambient:0.06
contemporary r&b,0,
idm,63,abstract:0.26; techno:0.12; glitch:0.11; experimental:0.10; drum and bass:0.09
noise rock,62,no wave:0.13; noise pop:0.11; experimental rock:0.10; noise:0.09; punk:0.09
indie folk,60,folk rock:0.16; folk:0.11; chamber pop:0.09; baroque pop:0.07; soft rock:0.07
neo-psychedelia,0,
new age,54,ambient:0.16; electronic:0.06; chillout:0.05; minimal:0.05; modern classical:0.05
experimental rock,52,art rock:0.13; post rock:0.11; noise rock:0.10; experimental:0.08; indie folk:0.06
classical,50,modern classical:0.19; ambient:0.10; classical crossover:0.08; baroque:0.06; instrumental:0.06
new wave,50,art punk:0.10; hypnagogic pop:0.09; punk:0.08; alternative:0.07; art rock:0.06
