genre,album_count,track_count,sources,suspect_reason
1996,1,10,musicbrainz,year_or_decade_token
2-step,1,9,musicbrainz,manual_review
60s,1,14,musicbrainz,year_or_decade_token
aaron,1,15,musicbrainz,manual_review
acid breaks,1,12,musicbrainz,manual_review
acid house,1,5,musicbrainz,manual_review
adult alternative pop/rock,1,12,musicbrainz,manual_review
afro house,1,16,musicbrainz,manual_review
afro-cuban,1,4,discogs,manual_review
alt-country,1,11,musicbrainz,manual_review
alternative rap,1,16,musicbrainz,manual_review
ambient dub,1,8,musicbrainz,manual_review
american primitive guitar,1,4,musicbrainz,manual_review
anarcho-punk,1,10,musicbrainz,manual_review
atmospheric drum and bass,1,10,musicbrainz,manual_review
avocado on cover,1,12,musicbrainz,cover_or_artwork_meta
ballroom house,1,16,musicbrainz,manual_review
bassline,1,9,musicbrainz,manual_review
bitpop,1,12,musicbrainz,manual_review
bittersweet,1,14,musicbrainz,manual_review
black metal,1,12,musicbrainz,manual_review
blaxploitation,1,14,musicbrainz,manual_review
bluegrass,1,27,discogs,manual_review
bowie,1,10,musicbrainz,manual_review
boy band,1,12,musicbrainz,manual_review
braindance,1,11,musicbrainz,manual_review
brit pop,1,16,musicbrainz,manual_review
british rhythm blues,1,14,musicbrainz,manual_review
broken transmission,1,17,musicbrainz,manual_review
brostep,1,9,musicbrainz,non_genre_phrase
bubblegum pop,1,12,musicbrainz,manual_review
c86,1,16,musicbrainz,manual_review
cat on cover,1,9,musicbrainz,cover_or_artwork_meta
chamber jazz,1,6,musicbrainz,manual_review
chamber music,1,2,musicbrainz,manual_review
chanson,1,11,discogs,manual_review
chicago soul,1,10,musicbrainz,manual_review
christmas,1,12,musicbrainz,manual_review
classic soul r b,1,21,musicbrainz,manual_review
coldwave,1,16,musicbrainz,manual_review
college rock,1,27,musicbrainz,manual_review
comedy rock,1,9,musicbrainz,manual_review
contemporary r b,1,18,musicbrainz,manual_review
country folk,1,9,musicbrainz,manual_review
country soul,1,27,musicbrainz,manual_review
crossover jazz,1,13,musicbrainz,manual_review
dance punk,1,11,musicbrainz,manual_review
dance-punk revival,1,5,musicbrainz,manual_review
dark jazz,1,12,discogs,manual_review
darksynth,1,10,musicbrainz,manual_review
darkwave,1,10,musicbrainz,manual_review
deep funk,1,16,musicbrainz,manual_review
dirty south,1,16,musicbrainz,manual_review
doo wop,1,12,discogs,manual_review
doo-wop,1,12,musicbrainz,manual_review
drugs,1,14,musicbrainz,manual_review
early pop/rock,1,24,musicbrainz,manual_review
ebm,1,10,musicbrainz,manual_review
eclectic,1,14,musicbrainz,manual_review
electro-disco,1,14,musicbrainz,manual_review
electro-industrial,1,10,musicbrainz,manual_review
emo rap,1,13,musicbrainz,manual_review
epic collage,1,13,musicbrainz,manual_review
exotica,1,12,musicbrainz,manual_review
experimental big band,1,5,musicbrainz,manual_review
female vocalist,1,18,musicbrainz,manual_review
field recording,1,11,musicbrainz,manual_review
flamenco pop,1,15,musicbrainz,manual_review
folk baroque,1,11,musicbrainz,manual_review
folk metal,1,16,musicbrainz,manual_review
folk punk,1,12,musicbrainz,manual_review
free folk,1,12,musicbrainz,manual_review
freestyle,1,9,musicbrainz,manual_review
funk metal,1,12,musicbrainz,manual_review
future pop,1,20,discogs,manual_review
g-funk,1,16,discogs,manual_review
garage house,1,12,musicbrainz,manual_review
go-go,1,27,discogs,manual_review
goth rock,1,28,musicbrainz,manual_review
gothic,1,7,musicbrainz,manual_review
gothic rock,1,28,musicbrainz,manual_review
happy hardcore,1,13,discogs,manual_review
hauntology,1,23,musicbrainz,manual_review
hip hop soul,1,13,musicbrainz,manual_review
hip-house,1,15,discogs,manual_review
horrorcore,1,18,musicbrainz,manual_review
illbient,1,11,discogs,manual_review
impressionist,1,20,discogs,manual_review
industrial metal,1,10,musicbrainz,manual_review
industrial rock,1,10,musicbrainz,manual_review
instrumental rock,1,9,musicbrainz,manual_review
j dilla,1,12,musicbrainz,manual_review
j-rock,1,9,discogs,manual_review
jam band,1,14,musicbrainz,manual_review
jazz blues,1,12,musicbrainz,manual_review
madchester,1,12,musicbrainz,manual_review
makina,1,13,discogs,manual_review
miami bass,1,10,musicbrainz,manual_review
microhouse,1,16,musicbrainz,manual_review
microsound,1,15,musicbrainz,manual_review
midtempo bass,1,10,musicbrainz,manual_review
miles davis,1,11,musicbrainz,manual_review
minimal techno,1,2,musicbrainz,manual_review
minimalism,1,2,musicbrainz,manual_review
music hall,1,65,musicbrainz,manual_review
musique concrète,1,6,discogs,manual_review
neo-acoustic,1,10,musicbrainz,manual_review
