genre,count
rock,865
indie rock,700
electronic,606
pop,351
jazz,331
ambient,292
experimental,287
alternative rock,271
indie pop,234
lo-fi,150
post-punk,144
hip hop,131
dream pop,124
post-rock,118
funk,115
soul,114
art rock,105
neo-psychedelia,104
punk,100
psychedelic rock,97
synth-pop,97
shoegaze,95
singer-songwriter,95
experimental rock,93
indie folk,92
pop rock,90
noise rock,85
folk rock,81
r&b,79
contemporary r&b,78
folk,77
new wave,71
art pop,70
hard bop,69
idm,68
downtempo,65
psychedelic pop,64
drone,62
instrumental,58
garage rock,57
indietronica,53
new age,53
noise pop,52
techno,52
chamber pop,51
avant-garde,46
classical,46
dance-pop,45
disco,42
house,41
jazz fusion,41
neo soul,41
post-bop,41
psychedelic,40
electronica,39
pop soul,39
post-hardcore,39
electro,37
jazz-funk,37
noise,37
punk rock,37
alternative r&b,36
classic rock,35
hard rock,34
avant-garde jazz,33
electropop,33
krautrock,33
slowcore,33
bedroom pop,32
contemporary jazz,32
leftfield,32
modern classical,32
alternative pop,29
baroque pop,29
blues,29
soul jazz,29
art punk,28
hypnagogic pop,28
contemporary folk,27
smooth soul,27
jangle pop,26
slacker rock,26
ambient pop,24
glitch,24
post-punk revival,24
psychedelic folk,24
americana,23
blues rock,23
conscious hip hop,23
free jazz,23
garage punk,23
jazz rap,23
alternative country,22
alternative hip hop,22
dance,22
pop rap,22
cool jazz,21
progressive electronic,21
progressive rock,21
alternative dance,20
hardcore punk,20
soft rock,20
afrobeat,19
bebop,19
experimental hip hop,19
heavy metal,19
progressive,19
ambient techno,18
chillwave,18
emo,18
math rock,18
no wave,18
sophisti-pop,18
spiritual jazz,18
country,17
deep house,17
drum and bass,17
folktronica,17
grunge,17
indie,17
instrumental hip hop,17
country rock,16
dance-punk,16
east coast hip hop,16
modal jazz,16
psychedelic soul,16
acid techno,15
alternative and punk,15
chamber folk,15
folk pop,15
power pop,15
rock and roll,15
synth funk,15
boom bap,14
glam rock,14
jazz pop,14
progressive pop,14
surf rock,14
abstract,13
alternative,13
experimental electronic,13
funk soul,13
jazz rock,13
pop punk,13
space rock,13
trip hop,13
christmas music,12
funk rock,12
hardcore hip hop,12
latin,12
space rock revival,12
abstract hip hop,11
acid rock,11
bossa nova,11
british,11
electroacoustic,11
garage rock revival,11
hyperpop,11
j-pop,11
political hip hop,11
proto-punk,11
quiet storm,11
acid,10
avant-folk,10
breakbeat,10
classical crossover,10
dub,10
dub techno,10
free improvisation,10
garage psych,10
jungle,10
southern soul,10
vocal jazz,10
alternative folk,9
avant-garde pop,9
ballad,9
contemporary classical,9
drill and bass,9
latin jazz,9
metal,9
minimalism,9
nu jazz,9
progressive metal,9
alternative punk,8
boogie,8
dubstep,8
instrumental jazz,8
acid jazz,7
ambient dub,7
dark wave,7
deconstructed club,7
easy listening,7
edm,7
freak folk,7
funktronica,7
gospel,7
motown,7
post-industrial,7
sludge metal,7
smooth jazz,7
surf,7
trap,7
west coast hip hop,7
afro-jazz,6
album rock,6
alternative metal,6
ambient americana,6
american,6
arena rock,6
beat music,6
bubblegum bass,6
chillout,6
city pop,6
club,6
country pop,6
deep soul,6
ethereal wave,6
gothic rock,6
jam band,6
nu disco,6
progressive folk,6
spoken word,6
third stream,6
twee pop,6
uk garage,6
underground hip hop,6
vaporwave,6
acoustic rock,5
afro-cuban jazz,5
alternative pop/rock,5
blue-eyed soul,5
dance-rock,5
doo-wop,5
europop,5
fusion,5
glitch pop,5
hauntology,5
heavy psych,5
hip-hop,5
industrial,5
industrial rock,5
minimal synth,5
minimal wave,5
mpb,5
non-music,5
plunderphonics,5
r b,5
swing,5
wonky,5
zolo,5
adult contemporary,4
avant-prog,4
big band,4
breaks,4
british blues,4
britpop,4
broken beat,4
chicago soul,4
doom metal,4
electro-industrial,4
future funk,4
merseybeat,4
midwest emo,4
minimal techno,4
neofolk,4
orchestral,4
p-funk,4
progressive house,4
reggae,4
scottish,4
shibuya-kei,4
sound collage,4
southern hip hop,4
sunshine pop,4
synthwave,4
tape music,4
traditional pop,4
trance,4
uk street soul,4
acoustic,3
am pop,3
atmospheric drum and bass,3
berlin school,3
breakcore,3
british folk rock,3
bubblegum pop,3
congolese rumba,3
dirty south,3
electronic rock,3
emo pop,3
emocore,3
english,3
experimental big band,3
flamenco pop,3
folk punk,3
glitch hop,3
hip house,3
indie surf,3
instrumental rock,3
lo-fi hip hop,3
lounge,3
mod,3
new rave,3
piano rock,3
post rock,3
progressive soul,3
rhythm & blues,3
soul blues,3
space age pop,3
special purpose,3
special purpose artist,3
stoner rock,3
synthpop,3
tech house,3
4ad,2
60s,2
acid breaks,2
african,2
afro rock,2
afrobeats,2
alt rock,2
alternative/indie rock,2
american primitive guitar,2
américain,2
animal on cover,2
aor,2
artist on cover,2
audio drama,2
baroque,2
beat poetry,2
big beat,2
bleep techno,2
brazilian,2
brill building,2
christian metal,2
cloud rap,2
comedy rock,2
compilation,2
conscious,2
contemporary pop/rock,2
country soul,2
cowpunk,2
crossover jazz,2
cumbia,2
cumbia peruana,2
dancehall,2
dark ambient,2
ebm,2
electro house,2
electro-funk,2
electronica dance,2
emo rap,2
ethereal,2
exotica,2
field recording,2
film soundtrack,2
flamenco,2
freestyle,2
funk metal,2
funky house,2
future jazz,2
gangsta rap,2
geek rock,2
german,2
glam,2
hardcore,2
hip hop soul,2
horrorcore,2
illbient,2
indeterminacy,2
j-rock,2
jazz blues,2
jazz funk,2
jazz instrument,2
jazz poetry,2
jazz-rock,2
jùjú,2
latin pop,2
mainstream rock,2
math pop,2
melodic house,2
melodic techno,2
microhouse,2
minneapolis sound,2
modern creative,2
moogsploitation,2
musique concrète,2
nashville sound,2
neo-soul,2
neoclassical new age,2
new jack swing,2
northern soul,2
nyū myūjikku,2
opera,2
organic house,2
outsider house,2
pigfuck,2
post bop,2
post-britpop,2
post-dubstep,2
power noise,2
punk blues,2
rap,2
rap metal,2
reggaeton,2
rnb swing,2
samba,2
southern rock,2
space ambient,2
stoner metal,2
swedish,2
symphonic rock,2
thrash metal,2
totalism,2
trap soul,2
trip-hop,2
