pos,track_id,artist_key,artist,title,seed_sim,local_sim_segment,local_sim_hybrid,local_sim_used,step_score,alpha_t_used,repair_applied,repair_iters_used,random_seed_used
1,a285288a890a5757df655013b32141dc,blood orange,Blood Orange,Today,1.0,nan,nan,nan,1.0,0.55,0,0,123
2,d0f0e6fb3644bd4ce21e761027283a22,black moth super rainbow,Black Moth Super Rainbow,Gangs In The Garden,0.6223708847876651,0.7261624357057015,0.6223708847874777,0.7261624357057015,0.8707477081406966,0.5383449883449883,0,0,123
3,e370afd7deec247a35fc092b0249c6c3,knower,KNOWER,Spotlight (ft. Vikram),0.5120356830411243,0.7611695167299205,0.5320994233246212,0.7611695167299205,0.8263857720033184,0.5266899766899767,0,0,123
4,9e0b868884827a23c4f41484d1d9ca34,toro y moi,Toro Y Moi,No Show,0.7977696129152756,0.6999319176408713,0.6616881914550228,0.6999319176408713,0.9308383952782994,0.515034965034965,0,0,123
5,6d93ca2e9f1afa7391e8b002c8120432,thundercat,Thundercat,King Of The Hill,0.3835059580879865,0.802739654772358,0.5501969566029522,0.802739654772358,0.7746930041666797,0.5033799533799534,0,0,123
6,86d1261afb77f5fecddf0100a5c4793e,mac demarco,Mac DeMarco,A Heart Like Hers,0.5181724462880963,0.7235142776090306,0.01618731745996576,0.7235142776090306,0.7889068825199029,0.49172494172494174,0,0,123
7,4a0b2e7b4aaf40c3bba9ce3f8f417059,of montreal,Of Montreal,Kissing In The Grass,0.619065035030655,0.7332066086724204,0.39022798957916843,0.7332066086724204,0.8371184732793576,0.4800699300699301,0,0,123
8,0a53c0e18a20d03f5985f63ddd65bf89,talking heads,Talking Heads,The Overload,0.3803514424801117,0.7304257407240821,0.6938931277598868,0.7304257407240821,0.7164177343327672,0.46841491841491845,0,0,123
9,894758109d0f471377f5bd386e7fad8d,norah jones,Norah Jones,Nightingale,0.4002653789896589,0.625575412251294,0.323063024463604,0.625575412251294,0.6581704245373118,0.4567599067599068,0,0,123
10,f763a21e5542da8044016dd36dfe9f44,men i trust,Men I Trust,Numb (garage session),0.5501929918932116,0.5682302339818373,0.16041988604083945,0.5682302339818373,0.6858317343331787,0.44510489510489515,0,0,123
11,fc0439c5c0770d87c7c0fb163b55e180,billie eilish,Billie Eilish,Halley's Comet,0.676476037230761,0.698176228898108,0.6190045153130728,0.698176228898108,0.8121241968331773,0.4334498834498835,0,0,123
12,3673454bae2f2d782db6b89ca6ef67a5,carly rae jepsen,Carly Rae Jepsen,Go Find Yourself or Whatever,0.6461728170694563,0.5594161509273288,0.7828526508274126,0.5594161509273288,0.7082020710895397,0.42179487179487185,0,0,123
13,5c49a2552ab9c4cd5ec6e4db6a7216c2,blood orange,Blood Orange,Berlin,0.9081809856492938,0.5620178374429623,0.6769583609666281,0.5620178374429623,0.7096919249016591,0.41013986013986015,0,0,123
14,70f8916534cc1608fa3fd1c2c01ce4a2,bill callahan bonnie prince billy,"Bill Callahan & Bonnie ""Prince"" Billy",Deacon Blues,0.6008275314702671,0.6542548435803771,0.6412851610622861,0.6542548435803771,0.7319735739916812,0.39848484848484855,0,0,123
15,3684910c1b21cf085c88df4f75863234,funkadelic,Funkadelic,Maggot Brain [Alternate Mix] [Bonus Track],0.2574727338785742,0.8431986230305853,0.27702687604642867,0.8431986230305853,0.705517309452732,0.38682983682983685,0,0,123
16,fd04e68fe5f1a1908f0d179a4d31a4da,arctic monkeys,Arctic Monkeys,There’d Better Be A Mirrorball,0.42853498047511057,0.7027606210892825,0.4051746149007869,0.7027606210892825,0.6824319090346161,0.3751748251748252,0,0,123
17,d2d29250d840aa0a1e54043e13900c94,orchid mantis,orchid mantis,pkd,0.45899628747696497,0.6432049419228705,0.11442643993362149,0.6432049419228705,0.6527772099836353,0.36351981351981355,0,0,123
18,3c23d4694d17c587d9a093d7822eae36,clairo,Clairo,Juna,0.546759495579966,0.7562178903624531,0.642302462611938,0.7562178903624531,0.7461161557974155,0.35186480186480185,0,0,123
19,66fb82a3d8e179033e400becac6516c9,julia brown,Julia Brown,Bloom,0.29770154543298244,0.7154191235906714,0.32061056553486955,0.7154191235906714,0.6305324544712881,0.3402097902097902,0,0,123
20,1d9e49549f955d17420f811b43999cef,ginger root,Ginger Root,Listen Up,0.5684008567382107,0.6759428477464744,0.44829248139216066,0.6759428477464744,0.6923165262638539,0.32855477855477855,0,0,123
21,64b921db9cedeaac858a851e6b955491,pink siifu,Pink Siifu,Fk U Mean/ Hold me Dwn,0.36264808543910465,0.7589103316751344,0.5167340251310769,0.7589103316751344,0.6702692927473797,0.31689976689976695,0,0,123
22,96fe4b003b1cb75568b0e50491746577,childish gambino,Childish Gambino,39.28,0.43670370756305266,0.78111322357521,0.7469920774318887,0.78111322357521,0.7019694504746872,0.30524475524475525,0,0,123
23,1c39e70a7f959a4b75a534e24a20e1e2,michael jackson,Michael Jackson,She's Out Of My Life,0.5169216899493249,0.7753199470641297,0.6874410661346159,0.7753199470641297,0.7226984489794472,0.3047008547008547,0,0,123
24,05af4fd6781f3ea682b8ee28d71bb948,foxes in fiction,Foxes in Fiction,Ontario Sunshine Pt. 2,0.4406323384133114,0.6683678613757842,0.2120320277258923,0.6683678613757842,0.6390478553113497,0.31324786324786325,0,0,123
25,0fcf3c2006e7cf1aff8e9a17fd0c02c1,decisive pink,Decisive Pink,What Where,0.531498555865821,0.7060272897326211,0.614777529713767,0.7060272897326211,0.6946498834835739,0.32179487179487176,0,0,123
26,cb34b59ce9b3fc941da18b780ead7d3c,prince,Prince,Something in the Water (Does Not Compute),0.6189940996180493,0.7169881139137264,0.24894769865839814,0.7169881139137264,0.7346725431365914,0.33034188034188033,0,0,123
27,ff8acf1eb0c96d476953a2775d7264cd,broadcast,Broadcast,Minus 3,0.4054648758715794,0.5660760894287817,0.1531195541142627,0.5660760894287817,0.5770531949248597,0.33888888888888885,0,0,123
28,553bd23f3573dde68919ed69bad976a6,genevieve artadi,Genevieve Artadi,Before the Dark,0.5301482489764988,0.7465598108804384,0.5175956042077643,0.7465598108804384,0.7321284191854825,0.3474358974358974,0,0,123
29,3feca883ba9d7b7e00ed3da7e3286cb6,mei semones,Mei Semones,Tegami,0.2602873205521336,0.8254753551390417,0.37642011599875874,0.8254753551390417,0.6879430498440776,0.35598290598290594,0,0,123
30,2df3b28a5b4f9b9523684cada387e7f3,beyonc,Beyoncé,Save the Hero,0.4354473058247908,0.7868708340785174,0.12410819257252063,0.7868708340785174,0.7308560696217029,0.3645299145299145,0,0,123
31,5ca96cad12fadd4adf6c61c1831f6775,jockstrap,Jockstrap,What’s It All About?,0.3996952668288766,0.8927542381593265,0.1739094923068344,0.8927542381593265,0.784769623212523,0.3730769230769231,0,0,123
