pos,track_id,artist_key,artist,title,seed_sim,local_sim_segment,local_sim_hybrid,local_sim_used,step_score,alpha_t_used,repair_applied,repair_iters_used,random_seed_used
1,a285288a890a5757df655013b32141dc,blood orange,Blood Orange,Today,1.0,nan,nan,nan,1.0,0.55,1,3,123
2,d0f0e6fb3644bd4ce21e761027283a22,black moth super rainbow,Black Moth Super Rainbow,Gangs In The Garden,0.6223708847874779,0.7261624357057015,0.6223708847874777,0.7261624357057015,0.8707477081405958,0.5383449883449883,1,3,123
3,e370afd7deec247a35fc092b0249c6c3,knower,KNOWER,Spotlight (ft. Vikram),0.5120356830410172,0.7611695167299205,0.5320994233246212,0.7611695167299205,0.826385772003262,0.5266899766899767,1,3,123
4,9e0b868884827a23c4f41484d1d9ca34,toro y moi,Toro Y Moi,No Show,0.7977696129150773,0.6999319176408713,0.6616881914550228,0.6999319176408713,0.9308383952781972,0.515034965034965,1,3,123
5,6d93ca2e9f1afa7391e8b002c8120432,thundercat,Thundercat,King Of The Hill,0.3835059580879191,0.802739654772358,0.5501969566029522,0.802739654772358,0.7746930041666459,0.5033799533799534,1,3,123
6,86d1261afb77f5fecddf0100a5c4793e,mac demarco,Mac DeMarco,A Heart Like Hers,0.5181724462879467,0.7235142776090306,0.01618731745996576,0.7235142776090306,0.7889068825198294,0.49172494172494174,1,3,123
7,4a0b2e7b4aaf40c3bba9ce3f8f417059,of montreal,Of Montreal,Kissing In The Grass,0.6190650350304799,0.7332066086724204,0.39022798957916843,0.7332066086724204,0.8371184732792735,0.4800699300699301,1,3,123
8,0a53c0e18a20d03f5985f63ddd65bf89,talking heads,Talking Heads,The Overload,0.38035144248001224,0.7304257407240821,0.6938931277598868,0.7304257407240821,0.7164177343327207,0.46841491841491845,1,3,123
9,894758109d0f471377f5bd386e7fad8d,norah jones,Norah Jones,Nightingale,0.4002653789895411,0.625575412251294,0.323063024463604,0.625575412251294,0.6581704245372579,0.4567599067599068,1,3,123
10,f763a21e5542da8044016dd36dfe9f44,men i trust,Men I Trust,Numb (garage session),0.5501929918930202,0.5682302339818373,0.16041988604083945,0.5682302339818373,0.6858317343330935,0.44510489510489515,1,3,123
11,fc0439c5c0770d87c7c0fb163b55e180,billie eilish,Billie Eilish,Halley's Comet,0.6764760372305753,0.698176228898108,0.6190045153130728,0.698176228898108,0.8121241968330967,0.4334498834498835,1,3,123
12,3673454bae2f2d782db6b89ca6ef67a5,carly rae jepsen,Carly Rae Jepsen,Go Find Yourself or Whatever,0.6461728170692908,0.5594161509273288,0.7828526508274126,0.5594161509273288,0.70820207108947,0.42179487179487185,1,3,123
13,5c49a2552ab9c4cd5ec6e4db6a7216c2,blood orange,Blood Orange,Berlin,0.9081809856490822,0.5620178374429623,0.6769583609666281,0.5620178374429623,0.7096919249015723,0.41013986013986015,1,3,123
14,70f8916534cc1608fa3fd1c2c01ce4a2,bill callahan bonnie prince billy,"Bill Callahan & Bonnie ""Prince"" Billy",Deacon Blues,0.6008275314701208,0.6542548435803771,0.6412851610622861,0.6542548435803771,0.7319735739916229,0.39848484848484855,1,3,123
15,3684910c1b21cf085c88df4f75863234,funkadelic,Funkadelic,Maggot Brain [Alternate Mix] [Bonus Track],0.25747273387852215,0.8431986230305853,0.27702687604642867,0.8431986230305853,0.7055173094527118,0.38682983682983685,1,3,123
16,fd04e68fe5f1a1908f0d179a4d31a4da,arctic monkeys,Arctic Monkeys,There’d Better Be A Mirrorball,0.42853498047500727,0.7027606210892825,0.4051746149007869,0.7027606210892825,0.6824319090345774,0.3751748251748252,1,3,123
17,d2d29250d840aa0a1e54043e13900c94,orchid mantis,orchid mantis,pkd,0.45899628747680116,0.6432049419228705,0.11442643993362149,0.6432049419228705,0.6527772099835757,0.36351981351981355,1,3,123
18,3c23d4694d17c587d9a093d7822eae36,clairo,Clairo,Juna,0.5467594955798006,0.7562178903624531,0.642302462611938,0.7562178903624531,0.7461161557973573,0.35186480186480185,1,3,123
19,66fb82a3d8e179033e400becac6516c9,julia brown,Julia Brown,Bloom,0.2977015454328701,0.7154191235906714,0.32061056553486955,0.7154191235906714,0.6305324544712498,0.3402097902097902,1,3,123
20,1d9e49549f955d17420f811b43999cef,ginger root,Ginger Root,Listen Up,0.5684008567380147,0.6759428477464744,0.44829248139216066,0.6759428477464744,0.6923165262637894,0.32855477855477855,1,3,123
21,64b921db9cedeaac858a851e6b955491,pink siifu,Pink Siifu,Fk U Mean/ Hold me Dwn,0.3626480854389964,0.7589103316751344,0.5167340251310769,0.7589103316751344,0.6702692927473454,0.31689976689976695,1,3,123
