pos,track_id,artist_key,artist,title,seed_sim,local_sim_segment,local_sim_hybrid,local_sim_used,step_score
1,7305910d5b671643582fc8b66e3c1e6a,kurt vile,Kurt Vile,Cold Was The Wind,1.0,nan,nan,nan,1.0
2,6d5366ca14238fc1845730752b9000d3,mount eerie,Mount Eerie,What?,0.6693763315433549,nan,0.6693763315428993,0.6693763315428993,0.7093763315431499
3,87b59a46e69c2f7005cf7b331168a813,stevie dinner,Stevie Dinner,Stray Cat (Bonus Track),0.6009871200085999,nan,0.7189088638060214,0.7189088638060214,0.6940519047174396
4,d9b05ee76d4993016cb99d3fc2a870c7,krill,Krill,Squirrels,0.626280141105838,nan,0.7445092634691152,0.7445092634691152,0.7194832461693128
5,310772b96c5114c93aa91133e67c60e4,dirty projectors,Dirty Projectors,Cool Your Heart (Live at Power Station),0.6096070294958422,nan,0.8275570343142902,0.8275570343142902,0.7476845316641438
6,b4ed22240e21f6ce52d7ea24f330de37,spirit of the beehive,SPIRIT OF THE BEEHIVE,human debenture,0.588601017763784,nan,0.7117557510580197,0.7117557510580197,0.6840206477461901
7,dbbbf01fcbacba21c316ed67e9afb7cf,truth club,Truth Club,77x,0.6182572947006976,nan,0.8237094056025509,0.8237094056025509,0.7507107446065316
8,3d97ab37340af9636b46886debf238d7,bleary eyed,Bleary Eyed,Stars,0.5472679171881071,nan,0.8462601975830969,0.8462601975830969,0.7218144433658527
9,f493f06cc6cb530452812906c718a09d,ovlov,Ovlov,Fast G,0.5658588056235991,nan,0.7947028627494374,0.7947028627494374,0.7088386313302264
10,04f933a5a0498b96a0bbf39ecaccc995,pavement,Pavement,"Fame Throwa [Live Brixton Academy, Dec. 14, 1992]",0.623456811958944,nan,0.796243621766001,0.796243621766001,0.7412108763721197
11,e8a1b001519cf8b35c41b1aaf58939c7,krill,Krill,Mom,0.6224634706653612,nan,0.7635124047349654,0.7635124047349654,0.7059354909966832
12,3b8f01ef9b5c6c9ff7454f5c856bef7f,built to spill,Built To Spill,Living Zoo,0.5776514669125896,nan,0.9128989482981037,0.9128989482981037,0.768512833536071
13,cba44cb0cd728408fb3c47e2bde738de,wet leg,Wet Leg,u and me at home,0.5632254594838411,nan,0.8322440568592363,0.8322440568592363,0.724283828302769
14,3624c00212af9dd8103599f77679d84a,clap your hands say yeah,Clap Your Hands Say Yeah,Satan Said Dance,0.5110885179159389,nan,0.837027294386981,0.837027294386981,0.6977609673279079
15,7e3f880d2744705731e459e05e637e71,interpol,Interpol,Evil,0.5241305706182898,nan,0.8439607265702963,0.8439607265702963,0.7080541407966928
16,78631b2ac2690f81019686bbee5d7403,blue smiley,blue smiley,demon,0.6050240945522763,nan,0.740166334607063,0.740166334607063,0.7058381025769305
17,e8c8e9ebb75982d7df61012f883308c8,pavement,Pavement,"Home [Live Brixton Academy, Dec. 14, 1992]",0.646148361973711,nan,0.6946394606443935,0.6946394606443935,0.6879693563755183
18,c468850b45cb415962ab23d859578c8b,kurt vile,Kurt Vile,Air Bud,0.6137765312469051,nan,0.7609439056023339,0.7609439056023339,0.7000018497068481
19,7c65dd11dab861029a1fa1541e4137cb,silver jews,Silver Jews,"Strange Victory, Strange Defeat",0.6087916216282974,nan,0.8091701632717236,0.8091701632717236,0.7389619653678392
20,ef60a2304d7ca1d8bd87fb759655e4d2,empath,empath,Born 100 Times,0.553361777225712,nan,0.7337141596548603,0.7337141596548603,0.6745203493188288
21,0892a472244a517c5294a9fab97810cc,wombo,Wombo,In Situ,0.6036955310420862,nan,0.8145489238827788,0.8145489238827788,0.738579557820398
22,7ec6ddc4cb46a94fde8e32b94964c983,cola,Cola,Tracing Hallmarks,0.5686961178068813,nan,0.7905376722200008,0.7905376722200008,0.7085248172927852
23,a86685519c9440cc9042d1cdc3af134b,the appleseed cast,The Appleseed Cast,Raise the Sails,0.5412270334694514,nan,0.816751166763368,0.816751166763368,0.705212893451714
24,cc572603091554a8844dce890b474ff2,clap your hands say yeah,Clap Your Hands Say Yeah,Gimmie Some Salt,0.5813382536623981,nan,0.7658791767320264,0.7658791767320264,0.684381669043731
25,b91e65932b6e4e304b1cd8b26b85c17d,nada surf,Nada Surf,Stalemate,0.5351336566553841,nan,0.8648509503064373,0.8648509503064373,0.7235064387983581
26,fd8b92b27acf096b20310f442b61a1e9,stove,Stove,Safe Guy,0.5274371203127969,nan,0.8664667173126327,0.8664667173126327,0.720000438962723
27,18151596c03d5d1aa30946ca10c7b292,pavement,Pavement,"So Stark [Live Brixton Academy, Dec. 14, 1992]",0.6454413021268842,nan,0.7515593278374298,0.7515593278374298,0.7131944136966297
28,40b2a14ada9ee4e2a9ece91014328b79,kurt vile,Kurt Vile,Bottle It In,0.6942079632218973,nan,0.6533434820889126,0.6533434820889126,0.6958189467120541
29,f86a1f7b613968e9d18f4b5a65b3abe7,sam evian,Sam Evian,Summer Running,0.5770575940730417,nan,0.7101141328498214,0.7101141328498214,0.6769330365225926
30,8d873029abe660924627a9a0b204c60e,krill,Krill,Phantom,0.5517800328190091,nan,0.8472299383549466,0.8472299383549466,0.704732490310181
