pos,track_id,artist_key,artist,title,seed_sim,local_sim_segment,local_sim_hybrid,local_sim_used,step_score,alpha_t_used
1,7305910d5b671643582fc8b66e3c1e6a,kurt vile,Kurt Vile,Cold Was The Wind,1.0,nan,nan,nan,1.0,0.65
2,a4e4f8995c784d6ecfba474ae7b5e805,mount eerie,Mount Eerie,Sauna,0.608025796173935,0.7242722114562892,0.6080257961735877,0.7242722114562892,0.7535151147539813,0.637460815047022
3,d9b05ee76d4993016cb99d3fc2a870c7,krill,Krill,Squirrels,0.626280141105838,0.8513445506624414,0.8464285828735868,0.8513445506624414,0.8144810544734867,0.6249216300940439
4,e4defe526d88aeb369a428ba7f86dd30,the microphones,The Microphones,Drums and Bass,0.6263830567862958,0.7530404053836846,0.5136386876474267,0.7530404053836846,0.762454170332385,0.6123824451410659
5,b4ed22240e21f6ce52d7ea24f330de37,spirit of the beehive,SPIRIT OF THE BEEHIVE,human debenture,0.588601017763784,0.7653613200700576,0.5839186493386779,0.7653613200700576,0.7374809474769808,0.5998432601880878
6,2a47d924e4382aa7c564755c29f7b282,the spirit of the beehive,The Spirit of the Beehive,White Weekend,0.5493154649681636,0.8307080397768772,0.7250843450705956,0.8307080397768772,0.7364338290650665,0.5873040752351097
7,04f933a5a0498b96a0bbf39ecaccc995,pavement,Pavement,"Fame Throwa [Live Brixton Academy, Dec. 14, 1992]",0.623456811958944,0.759696879995468,0.7782612077086224,0.759696879995468,0.7402046821191907,0.5747648902821316
8,321a929f57242af8e950e77373d66d15,ekko astral,Ekko Astral,EAT OFF MY CHEST (WHILE I STARE AT THE CAMERA),0.47707486241828045,0.926782662100745,0.8158052968905016,0.926782662100745,0.725275948963262,0.5622257053291536
9,beffcd0df57dea9b26491f410b3e1b21,blue smiley,blue smiley,control,0.5453371965440886,0.7654565699737786,0.715929626050213,0.7654565699737786,0.684219962488219,0.5496865203761756
10,13f7a38b6400e4b24bed0333c4a48c28,wet leg,Wet Leg,don’t speak,0.5768260169775464,0.8123038734784178,0.7671074557797127,0.8123038734784178,0.7153773010875533,0.5371473354231975
11,8d873029abe660924627a9a0b204c60e,krill,Krill,Phantom,0.5517800328190091,0.8385172136915673,0.7156345235212448,0.8385172136915673,0.6868010486447826,0.5246081504702195
12,fd8c777d62439dc8ff2b615db1f23b69,interpol,Interpol,"Leif Erikson (Live at Palacio de los Deportes, Mexico City, 2005)",0.5550068566236791,0.800913773142635,0.561935315966372,0.800913773142635,0.6846129848404491,0.5120689655172415
