pos,track_id,artist_key,artist,title,seed_sim,local_sim_segment,local_sim_hybrid,local_sim_used,step_score,alpha_t_used
1,7305910d5b671643582fc8b66e3c1e6a,kurt vile,Kurt Vile,Cold Was The Wind,1.0,nan,nan,nan,1.0,0.65
2,a4e4f8995c784d6ecfba474ae7b5e805,mount eerie,Mount Eerie,Sauna,0.608025796173935,0.7242722114562892,0.6080257961735877,0.7242722114562892,0.7611392626683879,0.65
3,d9b05ee76d4993016cb99d3fc2a870c7,krill,Krill,Squirrels,0.626280141105838,0.8513445506624414,0.8464285828735868,0.8513445506624414,0.8301871395168934,0.65
4,e4defe526d88aeb369a428ba7f86dd30,the microphones,The Microphones,Drums and Bass,0.6263830567862958,0.7530404053836846,0.5136386876474267,0.7530404053836846,0.7860171693337503,0.65
5,b4ed22240e21f6ce52d7ea24f330de37,spirit of the beehive,SPIRIT OF THE BEEHIVE,human debenture,0.588601017763784,0.7653613200700576,0.5839186493386779,0.7653613200700576,0.7670032555779857,0.65
6,2a47d924e4382aa7c564755c29f7b282,the spirit of the beehive,The Spirit of the Beehive,White Weekend,0.5493154649681636,0.8307080397768772,0.7250843450705956,0.8307080397768772,0.7708736701289012,0.65
7,04f933a5a0498b96a0bbf39ecaccc995,pavement,Pavement,"Fame Throwa [Live Brixton Academy, Dec. 14, 1992]",0.623456811958944,0.759696879995468,0.7782612077086224,0.759696879995468,0.7871105237712743,0.65
8,5bd9ded75d0b813b809b350bd51d003b,the beets,The Beets,Young Girl,0.618723488555413,0.7052559707189431,0.6870535953850528,0.7052559707189431,0.759535454384543,0.65
9,cc572603091554a8844dce890b474ff2,clap your hands say yeah,Clap Your Hands Say Yeah,Gimmie Some Salt,0.5813382536623981,0.8168229245793227,0.7102817338317106,0.8168229245793227,0.7854401809412541,0.65
10,d6e0b66d00bbcc6cd0eb16ae7c53dc3b,wet leg,Wet Leg,Chaise Longue,0.571812486693975,0.8573368663112382,0.8566838848002142,0.8573368663112382,0.797479706191141,0.65
11,9357a584abce52050fa3062f2549ac89,alex g,Alex G,Axesteel,0.5948342561466837,0.6941093693189112,0.6549114780186517,0.6941093693189112,0.7389914826888545,0.65
12,3b8f01ef9b5c6c9ff7454f5c856bef7f,built to spill,Built To Spill,Living Zoo,0.5776514669125896,0.6911761356805644,0.6235950977333737,0.6911761356805644,0.7265027145494373,0.65
13,e8a1b001519cf8b35c41b1aaf58939c7,krill,Krill,Mom,0.6224634706653612,0.7859977539388614,0.9128989482981037,0.7859977539388614,0.7783002452049725,0.65
14,a345dd1a399cbfe83376637055691bfb,nada surf,Nada Surf,Popular,0.5579698216634966,0.752013675294708,0.73155343544961,0.752013675294708,0.7410865379638915,0.65
15,65ca47ae80edc1abca3c02b9fb327de4,wombo,Wombo,Queens of Kiesh (Demo),0.651006633114584,0.6831337043345481,0.6126443929468104,0.6831337043345481,0.7705644784750263,0.65
16,815b178f97021ee2e5cdd0c0e79d609f,ada lea,Ada Lea,diner,0.6595531105585496,0.6203832164971069,0.6428119665088331,0.6203832164971069,0.7478819692867554,0.65
17,f97a2719dade30211a79ce5dd0d65ef1,ducks ltd,Ducks Ltd.,Patience Wearing Thin,0.5467132482377267,0.695037959210637,0.6319924925887432,0.695037959210637,0.7081306929993091,0.65
18,7c65dd11dab861029a1fa1541e4137cb,silver jews,Silver Jews,"Strange Victory, Strange Defeat",0.6087916216282974,0.8121357225488282,0.7230648638188658,0.8121357225488282,0.801175629205366,0.65
19,e357226cb2e9e01053b34763b3d663c0,unwound,Unwound,Feeling$ Real,0.5053188238790607,0.7862445791711161,0.6886239687092539,0.7862445791711161,0.7222672961483918,0.65
20,7359bf606bbbdb7ebfaad3a63d49fe4c,pavement,Pavement,Flux = Rad,0.6310743391955982,0.749926349767104,0.6512710472048219,0.749926349767104,0.7676651778723357,0.65
21,0189b28e94cbf27cb84cdb054a2324f8,stove,Stove,Duckling Fantasy,0.5425397925815525,0.7373798733642003,0.7793281699883795,0.7373798733642003,0.7244718081918993,0.65
22,2159e4ef2d0c225d46d22f58f9125f1c,blitzen trapper,Blitzen Trapper,Miss Spiritual Tramp,0.5088219349120562,0.8062441615224002,0.7375837772730004,0.8062441615224002,0.7335441303779167,0.65
23,923e6ed074b465228a4b5c9f169d69b4,the appleseed cast,The Appleseed Cast,Chaotic Waves,0.514624079217595,0.798433799900168,0.7028653351246075,0.798433799900168,0.7338008614465125,0.65
24,cba44cb0cd728408fb3c47e2bde738de,wet leg,Wet Leg,u and me at home,0.5632254594838411,0.7294158496736446,0.6419658346271685,0.7294158496736446,0.7143336810176368,0.65
25,3624c00212af9dd8103599f77679d84a,clap your hands say yeah,Clap Your Hands Say Yeah,Satan Said Dance,0.5110885179159389,0.7205592880397329,0.837027294386981,0.7205592880397329,0.6764592162632401,0.65
26,94729ac76a1ddb0d2d5e71b2b5144a6d,spoon,Spoon,Got Nuffin,0.5984369579698876,0.7045707512381801,0.6970449850181933,0.7045707512381801,0.7460408607376081,0.65
27,40b2a14ada9ee4e2a9ece91014328b79,kurt vile,Kurt Vile,Bottle It In,0.6942079632218973,0.6524631040088968,0.631537076185036,0.6524631040088968,0.7648435728982368,0.65
28,18151596c03d5d1aa30946ca10c7b292,pavement,Pavement,"So Stark [Live Brixton Academy, Dec. 14, 1992]",0.6454413021268842,0.6083706887195506,0.6533434820889126,0.6083706887195506,0.7133036563062725,0.65
29,d0827bd8ee1cbc080842ca833f29e51e,stevie dinner,Stevie Dinner,Mental Hygiene,0.6294464898940872,0.5923098815355508,0.5861873876384049,0.5923098815355508,0.7156796651221546,0.65
30,a41a950af8fa9dbc9913b3e7424b0b82,the beets,The Beets,Your Name Is On My Bones,0.5588115207294628,0.7936374630684676,0.6983319611406962,0.7936374630684676,0.7403643468549613,0.65
