pos,track_id,artist_key,artist,title,seed_sim,local_sim_segment,local_sim_hybrid,local_sim_used,step_score
1,7305910d5b671643582fc8b66e3c1e6a,kurt vile,Kurt Vile,Cold Was The Wind,1.0,nan,nan,nan,1.0
2,6d5366ca14238fc1845730752b9000d3,mount eerie,Mount Eerie,What?,0.6693763315433549,nan,0.6693763315428993,0.6693763315428993,0.6893763315431954
3,85713d7e25f141f17f50c5bf7bc9b480,lomelda,Lomelda,Both Mode,0.6292923156254352,nan,0.7484725260020344,0.7484725260020344,0.691005389257245
4,7e99131466e3d1d50305e28b56df8a37,the microphones,The Microphones,I Want Wind To Blow,0.656171940790157,nan,0.6108671625962381,0.6108671625962381,0.6603152684222854
5,c468850b45cb415962ab23d859578c8b,kurt vile,Kurt Vile,Air Bud,0.6137765312469051,nan,0.7124434842347586,0.7124434842347586,0.6783099647926538
6,e8c8e9ebb75982d7df61012f883308c8,pavement,Pavement,"Home [Live Brixton Academy, Dec. 14, 1992]",0.646148361973711,nan,0.7609439056023339,0.7609439056023339,0.706326802243729
7,7c65dd11dab861029a1fa1541e4137cb,silver jews,Silver Jews,"Strange Victory, Strange Defeat",0.6087916216282974,nan,0.7471163789539635,0.7471163789539635,0.6772052866922805
8,815b178f97021ee2e5cdd0c0e79d609f,ada lea,Ada Lea,diner,0.6595531105585496,nan,0.652395894776788,0.652395894776788,0.6770480850349331
9,40b2a14ada9ee4e2a9ece91014328b79,kurt vile,Kurt Vile,Bottle It In,0.6942079632218973,nan,0.5768358114770489,0.5768358114770489,0.6831277101112003
10,18151596c03d5d1aa30946ca10c7b292,pavement,Pavement,"So Stark [Live Brixton Academy, Dec. 14, 1992]",0.6454413021268842,nan,0.6533434820889126,0.6533434820889126,0.6782070651135942
11,5bd9ded75d0b813b809b350bd51d003b,the beets,The Beets,Young Girl,0.618723488555413,nan,0.6825367171648988,0.6825367171648988,0.6610581185687331
12,d0827bd8ee1cbc080842ca833f29e51e,stevie dinner,Stevie Dinner,Mental Hygiene,0.6294464898940872,nan,0.7088238758775531,0.7088238758775531,0.6772285749883004
13,a7210b7def0488d5b83b23601b472782,mount eerie,Mount Eerie,Turmoil,0.6388781535491738,nan,0.5882329321935409,0.5882329321935409,0.6511523260747023
14,fb55010e7b1eeb1a64f4586ab62aaa91,silver jews,Silver Jews,San Francisco B.C.,0.5521948546359765,nan,0.8045398401511722,0.8045398401511722,0.670515599566295
15,dbbbf01fcbacba21c316ed67e9afb7cf,truth club,Truth Club,77x,0.6182572947006976,nan,0.7362701281301153,0.7362701281301153,0.6795617864009937
16,e5e653f53a94b412947e560f729d62b8,pavement,Pavement,Cream of Gold (2022 Remaster),0.6437077183111345,nan,0.703427793619381,0.703427793619381,0.6946097446690208
17,1eef48d11e92e6cb5ce08a09137f246a,blue smiley,blue smiley,flip,0.6453924639975324,nan,0.6838311141806395,0.6838311141806395,0.6788459915616198
18,65ca47ae80edc1abca3c02b9fb327de4,wombo,Wombo,Queens of Kiesh (Demo),0.651006633114584,nan,0.7103413366024632,0.7103413366024632,0.6917737793353417
19,d9b05ee76d4993016cb99d3fc2a870c7,krill,Krill,Squirrels,0.626280141105838,nan,0.6872128465807124,0.6872128465807124,0.667606588022044
20,a4e4f8995c784d6ecfba474ae7b5e805,mount eerie,Mount Eerie,Sauna,0.608025796173935,nan,0.8464285828735868,0.8464285828735868,0.7214667715188132
21,310772b96c5114c93aa91133e67c60e4,dirty projectors,Dirty Projectors,Cool Your Heart (Live at Power Station),0.6096070294958422,nan,0.7432225451573272,0.7432225451573272,0.676372459977362
22,87b59a46e69c2f7005cf7b331168a813,stevie dinner,Stevie Dinner,Stray Cat (Bonus Track),0.6009871200085999,nan,0.6625599831357867,0.6625599831357867,0.6525376221031153
23,f1f70a3dcd9b647525d608da27238ccf,julian lynch,Julian Lynch,Water Wheel Two,0.6037795200130565,nan,0.7244033253531129,0.7244033253531129,0.6659978518820762
24,86a6d837b8f06a67bdfc9c55ddaf432e,mount eerie,Mount Eerie,the Place Lives,0.6363576974402039,nan,0.6645306234945081,0.6645306234945081,0.6762182215592104
25,413cf3d31b35e0e9c04ee15b0cfe523b,silver jews,Silver Jews,Party Barge,0.6214048748164618,nan,0.6029671458257445,0.6029671458257445,0.6449516696697107
