pos,track_id,artist_key,artist,title,seed_sim,local_sim_segment,local_sim_hybrid,local_sim_used,step_score
1,7305910d5b671643582fc8b66e3c1e6a,kurt vile,Kurt Vile,Cold Was The Wind,1.0,nan,nan,nan,1.0
2,a4e4f8995c784d6ecfba474ae7b5e805,mount eerie,Mount Eerie,Sauna,0.608025796173935,0.7242722114562892,0.6080257961735877,0.7242722114562892,0.668712041522759
3,d9b05ee76d4993016cb99d3fc2a870c7,krill,Krill,Squirrels,0.626280141105838,0.8513445506624414,0.8464285828735868,0.8513445506624414,0.7250526844506492
4,e4defe526d88aeb369a428ba7f86dd30,the microphones,The Microphones,Drums and Bass,0.6263830567862958,0.7530404053836846,0.5136386876474267,0.7530404053836846,0.6907131287953818
5,b4ed22240e21f6ce52d7ea24f330de37,spirit of the beehive,SPIRIT OF THE BEEHIVE,human debenture,0.588601017763784,0.7653613200700576,0.5839186493386779,0.7653613200700576,0.6704671235709798
6,2a47d924e4382aa7c564755c29f7b282,the spirit of the beehive,The Spirit of the Beehive,White Weekend,0.5493154649681636,0.8307080397768772,0.7250843450705956,0.8307080397768772,0.6678028661512134
7,04f933a5a0498b96a0bbf39ecaccc995,pavement,Pavement,"Fame Throwa [Live Brixton Academy, Dec. 14, 1992]",0.623456811958944,0.759696879995468,0.7782612077086224,0.759696879995468,0.6911408357717275
8,5bd9ded75d0b813b809b350bd51d003b,the beets,The Beets,Young Girl,0.618723488555413,0.7052559707189431,0.6870535953850528,0.7052559707189431,0.6690098573126486
9,cc572603091554a8844dce890b474ff2,clap your hands say yeah,Clap Your Hands Say Yeah,Gimmie Some Salt,0.5813382536623981,0.8168229245793227,0.7102817338317106,0.8168229245793227,0.6837578884833218
10,d6e0b66d00bbcc6cd0eb16ae7c53dc3b,wet leg,Wet Leg,Chaise Longue,0.571812486693975,0.8573368663112382,0.8566838848002142,0.8573368663112382,0.6917460195600171
11,9357a584abce52050fa3062f2549ac89,alex g,Alex G,Axesteel,0.5948342561466837,0.6941093693189112,0.6549114780186517,0.6941093693189112,0.6495805457569633
12,e8a1b001519cf8b35c41b1aaf58939c7,krill,Krill,Mom,0.6224634706653612,0.7064998115264226,0.6023158504359247,0.7064998115264226,0.6818761899667327
13,3b8f01ef9b5c6c9ff7454f5c856bef7f,built to spill,Built To Spill,Living Zoo,0.5776514669125896,0.7952226962669923,0.9128989482981037,0.7952226962669923,0.6738013971866306
14,cba44cb0cd728408fb3c47e2bde738de,wet leg,Wet Leg,u and me at home,0.5632254594838411,0.7038365211420066,0.8322440568592363,0.7038365211420066,0.642439331064199
15,e5e653f53a94b412947e560f729d62b8,pavement,Pavement,Cream of Gold (2022 Remaster),0.6437077183111345,0.6305083894000808,0.6508915726417902,0.6305083894000808,0.6690879531922658
16,65ca47ae80edc1abca3c02b9fb327de4,wombo,Wombo,Queens of Kiesh (Demo),0.651006633114584,0.6694429088873063,0.5120366884986502,0.6694429088873063,0.6774593296350367
17,815b178f97021ee2e5cdd0c0e79d609f,ada lea,Ada Lea,diner,0.6595531105585496,0.6203832164971069,0.6428119665088331,0.6203832164971069,0.6658436476370447
18,f97a2719dade30211a79ce5dd0d65ef1,ducks ltd,Ducks Ltd.,Patience Wearing Thin,0.5467132482377267,0.695037959210637,0.6319924925887432,0.695037959210637,0.6186268970782454
19,7c65dd11dab861029a1fa1541e4137cb,silver jews,Silver Jews,"Strange Victory, Strange Defeat",0.6087916216282974,0.8121357225488282,0.7230648638188658,0.8121357225488282,0.6999620569504832
20,e357226cb2e9e01053b34763b3d663c0,unwound,Unwound,Feeling$ Real,0.5053188238790607,0.7862445791711161,0.6886239687092539,0.7862445791711161,0.6236428382312801
21,7359bf606bbbdb7ebfaad3a63d49fe4c,pavement,Pavement,Flux = Rad,0.6310743391955982,0.749926349767104,0.6512710472048219,0.749926349767104,0.7026725428956253
22,8c293b081b944b1d4a26935f57a4c9b9,the microphones,The Microphones,I Want to Be Cold,0.5921926382320534,0.6530818180254166,0.5950885242755249,0.6530818180254166,0.6435038511597305
23,bda2e160dfe33c90e380fedf4e01474d,alex g,Alex G,Sloth,0.5543343467329478,0.6798443128334694,0.46403604659476844,0.6798443128334694,0.6282628348681304
24,85713d7e25f141f17f50c5bf7bc9b480,lomelda,Lomelda,Both Mode,0.6292923156254352,0.6421383536685857,0.6961364319649568,0.6421383536685857,0.6537884289405379
25,6d5366ca14238fc1845730752b9000d3,mount eerie,Mount Eerie,What?,0.6693763315433549,0.656441530754772,0.7484725260020344,0.656441530754772,0.6948491512673509
