pos,track_id,artist_key,artist,title,seed_sim,local_sim_segment,local_sim_hybrid,local_sim_used,step_score
1,7305910d5b671643582fc8b66e3c1e6a,kurt vile,Kurt Vile,Cold Was The Wind,1.0,nan,nan,nan,1.0
2,a4e4f8995c784d6ecfba474ae7b5e805,mount eerie,Mount Eerie,Sauna,0.608025796173935,0.7242722114562892,0.6080257961735877,0.7242722114562892,0.668712041522759
3,d9b05ee76d4993016cb99d3fc2a870c7,krill,Krill,Squirrels,0.626280141105838,0.8513445506624414,0.8464285828735868,0.8513445506624414,0.7250526844506492
4,e4defe526d88aeb369a428ba7f86dd30,the microphones,The Microphones,Drums and Bass,0.6263830567862958,0.7530404053836846,0.5136386876474267,0.7530404053836846,0.6907131287953818
5,b4ed22240e21f6ce52d7ea24f330de37,spirit of the beehive,SPIRIT OF THE BEEHIVE,human debenture,0.588601017763784,0.7653613200700576,0.5839186493386779,0.7653613200700576,0.6704671235709798
6,2a47d924e4382aa7c564755c29f7b282,the spirit of the beehive,The Spirit of the Beehive,White Weekend,0.5493154649681636,0.8307080397768772,0.7250843450705956,0.8307080397768772,0.6678028661512134
7,04f933a5a0498b96a0bbf39ecaccc995,pavement,Pavement,"Fame Throwa [Live Brixton Academy, Dec. 14, 1992]",0.623456811958944,0.759696879995468,0.7782612077086224,0.759696879995468,0.6911408357717275
8,f493f06cc6cb530452812906c718a09d,ovlov,Ovlov,Fast G,0.5658588056235991,0.818266656013093,0.796243621766001,0.818266656013093,0.6742015532599219
9,dbbbf01fcbacba21c316ed67e9afb7cf,truth club,Truth Club,77x,0.6182572947006976,0.6344842171616933,0.7332465300139024,0.6344842171616933,0.6439367175620461
10,fd6d1f96bb2940237b31b380cfea6672,kurt vile,Kurt Vile,Was All Talk,0.5510128356625594,0.7562618118407021,0.7172252531970721,0.7562618118407021,0.6528499773249093
11,f12b62cbc8a8177807f3bbe5c9706019,smog,Smog,Sleepy Joe,0.5051991248437643,0.7707635941230059,0.6448574326549725,0.7707635941230059,0.6181466890914988
12,2159e4ef2d0c225d46d22f58f9125f1c,blitzen trapper,Blitzen Trapper,Miss Spiritual Tramp,0.5088219349120562,0.7501843882141606,0.6757944504593671,0.7501843882141606,0.6132987935677927
13,e5e653f53a94b412947e560f729d62b8,pavement,Pavement,Cream of Gold (2022 Remaster),0.6437077183111345,0.6216849624573207,0.6248324549139727,0.6216849624573207,0.6659997537622997
14,65ca47ae80edc1abca3c02b9fb327de4,wombo,Wombo,Queens of Kiesh (Demo),0.651006633114584,0.6694429088873063,0.5120366884986502,0.6694429088873063,0.6774593296350367
15,815b178f97021ee2e5cdd0c0e79d609f,ada lea,Ada Lea,diner,0.6595531105585496,0.6203832164971069,0.6428119665088331,0.6203832164971069,0.6658436476370447
16,f97a2719dade30211a79ce5dd0d65ef1,ducks ltd,Ducks Ltd.,Patience Wearing Thin,0.5467132482377267,0.695037959210637,0.6319924925887432,0.695037959210637,0.6186268970782454
17,7c65dd11dab861029a1fa1541e4137cb,silver jews,Silver Jews,"Strange Victory, Strange Defeat",0.6087916216282974,0.8121357225488282,0.7230648638188658,0.8121357225488282,0.6999620569504832
18,e8c8e9ebb75982d7df61012f883308c8,pavement,Pavement,"Home [Live Brixton Academy, Dec. 14, 1992]",0.646148361973711,0.6316482318868952,0.7471163789539635,0.6316482318868952,0.6710733164433255
19,0892a472244a517c5294a9fab97810cc,wombo,Wombo,In Situ,0.6036955310420862,0.5510316709598118,0.5538396856064614,0.5510316709598118,0.6152631800132902
20,7ec6ddc4cb46a94fde8e32b94964c983,cola,Cola,Tracing Hallmarks,0.5686961178068813,0.7894632959767817,0.7905376722200008,0.7894632959767817,0.6659646301663464
21,10a40cc1721e884761b99bec17dd4b56,faye webster,Faye Webster,Cheers,0.5698798451664195,0.7249861265586621,0.6625398793327606,0.7249861265586621,0.6441670436537045
22,40b2a14ada9ee4e2a9ece91014328b79,kurt vile,Kurt Vile,Bottle It In,0.6942079632218973,0.599531680482984,0.687270800722851,0.599531680482984,0.6910712642632777
23,1180bfa5e23c49ac5e142d89cb5f8f86,stevie dinner,Stevie Dinner,The Boys Are Out of Town,0.6524084014715378,0.5498994907855704,0.6415945896325996,0.5498994907855704,0.6365302827314492
24,5bd9ded75d0b813b809b350bd51d003b,the beets,The Beets,Young Girl,0.618723488555413,0.6984146844650344,0.654954588612189,0.6984146844650344,0.6666154071237805
25,7e99131466e3d1d50305e28b56df8a37,the microphones,The Microphones,I Want Wind To Blow,0.656171940790157,0.707648604956508,0.5603302582962038,0.707648604956508,0.7041887732483798
