artist,track_count,genre_count,current_genres
Mr. Greg & Cass McCombs,20,0,(none)
Osees & Thee Oh Sees,13,0,(none)
Coulibaly Tidiane & Dafra Star,11,0,(none)
Nicholas Krgovich & Friends,9,0,(none)
San Francisco Symphony & Michael Tilson Thomas,7,0,(none)
"Sufjan Stevens, Conor Hanick & Timo Andres",7,0,(none)
The Horace Silver Quintet & Trio,7,0,(none)
John Coltrane & Cannonball Adderly,6,0,(none)
John Coltrane & Tadd Dameron,6,0,(none)
Beyoncé feat. Jay-Z,5,0,(none)
Vegyn & John Keek,5,0,(none)
Little Tony & the Hawks,4,0,(none)
"Terrace Martin, Robert Glasper, 9th Wonder, Kamasi Washington feat. Phoelix",4,0,(none)
A.C. Jones & The Atomic Aces,3,0,(none)
B - Vision & Dimitri Nakov,3,0,(none)
Brian Reitzell & Roger J. Manning Jr,3,0,(none)
Cantoma feat. Suad Khalifa,3,0,(none)
Harvey & The Phenomenals,3,0,(none)
Angela Alexander & J. D. Saddler,2,0,(none)
Billy Foster & Audio,2,0,(none)
Bo & The Metros,2,0,(none)
Bob B. Soxx & the Blue Jeans,2,0,(none)
Bola Johnson & His Easy Life Top Beats,2,0,(none)
Dean Francis & The Soul Rockers,2,0,(none)
Etubom Rex Williams & His Nigerian Artistes,2,0,(none)
Frankie Pighee & The Soulettes,2,0,(none)
General Lee & The Lost Weekend,2,0,(none)
Harrison & The Majestic Kind,2,0,(none)
Hyldon (feat. Bossacucanova),2,0,(none)
Jessy Lanza feat. Taraval,2,0,(none)
Juan Formell & Los Van Van,2,0,(none)
Laurence Rassel & Terre Thaemlitz,2,0,(none)
Mariah Carey feat. Usher,2,0,(none)
NorB & juSt b,2,0,(none)
Pole Folder & CP,2,0,(none)
A.J. Jones & The Soulettes,1,0,(none)
"AV María, Sky, & Belina Rose",1,0,(none)
Admiral Dele Abiodun & His Top Hitters International,1,0,(none)
Alan Palomo feat. Flore Benguigui,1,0,(none)
Alan Palomo feat. Mac DeMarco,1,0,(none)
Ali Chukwumah & His Peace Makers International,1,0,(none)
Allison Russell & Ahya Simone,1,0,(none)
Amanda Whiting feat. Chip Wickham,1,0,(none)
