position,track_id,artist_key,artist_name,title,duration_ms,seed_sim,genres
0,ac056e4b6b1bcdc36e576ee13659900f,tops,TOPS,Way to be Loved,,1.0,
1,05d23d4bc23e7eb756a1db9eba8d60f9,stevie wonder,Stevie Wonder,Summer Soft,,0.9528762149977295,
2,f6e5c1eb1db4c7f298125087e5546115,marvin gaye,Marvin Gaye,The Shadow Of Your Smile (1973 Version),,0.9769578985239112,
3,cfbb5b9efb391cb4df9dca07ee94cc00,the temptations,The Temptations,Love Is a Hurtin' Thing,,0.9651388418105473,
4,6b5818e04017f0c9e9342cd89cf55516,jackson 5,Jackson 5,True Love Can Be Beautiful,,0.9467240305028897,
5,23e4e5619bdad24cbcda1cad98a97c41,aaliyah,Aaliyah,I Care 4 U,,0.8976894380068672,
6,268abc9d1ae84b0f155279d1c3412928,sly the family stone,Sly & The Family Stone,Time,,0.8636079597520447,
7,144d5dc0ca8bad3214691e248b9428be,tops,TOPS,2 Shy,,0.9007801839077418,
8,a3f02d846c1ef4f131c3e2e819a2b5be,the supremes,The Supremes,Ask Any Girl,,0.8971991819754679,
9,1598d19bb3b770f3782533feb15c37d4,curtis mayfield,Curtis Mayfield,Underground,,0.9480864649660281,
10,a36b3e6e3da40082c1e8d7c1ee3ff013,mariah carey,Mariah Carey,Just to Hold You Once Again,,0.8393692081327851,
11,fd6d9ece2108d5ac622a1a78495a644e,isaac hayes,Isaac Hayes,The First Time Ever I Saw Your Face,,0.8556136382872543,
12,f4e46151f1abeb258ab0af679c5e4225,marvin gaye,Marvin Gaye,Why Did I Choose You (1973 Version),,0.9160134555706675,
13,2c3c3b5d81635b2d4e39559f051c91d6,stevie wonder,Stevie Wonder,Village Ghetto Land,,0.9749891617815138,
14,3412d8e18f7c3288e8310775cd8e203d,tops,TOPS,Superstition Future,,0.9571554311850012,
15,e61049a40eae323c5f8d4256be22e7dd,patrice rushen,Patrice Rushen,I Need You Love,,0.8542403178467147,
16,92ef890d8fbe8a6d131ad9897e68b513,jackson 5,Jackson 5,I Found That Girl,,0.873028196073509,
17,5aa72adaa3797440ff56ed0e1c52476b,the temptations,The Temptations,I Need Your Lovin',,0.9404230698773268,
18,85e1a8a201f3e207a3183add4ef883bc,sade,Sade,Smooth Operator,,0.831042479707086,
19,b1326477eed3ec3890bfcff08b871c53,marvin gaye,Marvin Gaye,I Won't Cry Anymore (1973 Version),,0.8543278026225135,
20,e5eb567b2f0b3fbc067047249eb5408b,stevie wonder,Stevie Wonder,Easy Goin' Evening (My Mama's Call),,0.9823096386571444,
21,c1b358574ba146166f1ec117e0ba683b,tops,TOPS,Sleeptalker,,0.9488475145924757,
22,0b578ee41e42b8f7cc6798294d7684d5,aaliyah,Aaliyah,Those Were The Days,,0.8252231172103789,
23,765bedaf4aebd82ae66c706b14c559bb,jackson 5,Jackson 5,Don't Know Why I Love You,,0.868019938324509,
24,082a1904dc78c43d87b734d72e3cda49,the temptations,The Temptations,Gonna Keep on Tryin' Till I Win Your Love,,0.9493508850112753,
25,001905b8917adf80661687e199f385be,durand jones the indications,Durand Jones & The Indications,Sea Gets Hotter,,0.8948910573105961,
26,25d72e40d0f41cd8a7b94b4d064a27da,marvin gaye,Marvin Gaye,Song #2 (Instrumental),,0.8891639180207176,
27,3720d0d0b2987d9526420dcf139d1eaf,stevie wonder,Stevie Wonder,Knocks Me Off My Feet,,0.9844690565864901,
28,ca6a8239b1c51863c0fa3e0d83f637e5,sly the family stone,Sly & The Family Stone,Runnin' Away ,,0.9503714839128955,
29,39fdf21934dc6883eca20550ec28721d,aaliyah,Aaliyah,I Refuse,,0.8467484608164592,
