position,track_id,artist_key,artist_name,title,duration_ms,seed_sim,genres
0,5b78debacd8a7adfc6476fb4c2ad3315,sufjan stevens,Sufjan Stevens,Casimir Pulaski Day,,1.0,
1,cbf61fd1059f73673e92c329b7fac74e,nick drake,Nick Drake,Fly,,0.8311525307803697,
2,686d1c3c431e72da87a689721c91963d,phoebe bridgers,Phoebe Bridgers,Chinese Satellite,,0.7945220353333537,
3,cf484c354bce6967aab23aea4d920a73,fleet foxes,Fleet Foxes,Quiet Air / Gioia,,0.9220179704790012,
4,674251e0033a9e23f831278487a43d94,richard dawson,Richard Dawson,Museum,,0.8577594319130478,
5,9f114dfc3cecade003a0fba34a939a7b,cameron winter,Cameron Winter,Love Takes Miles,,0.8447516185098349,
6,994a12e724aaa3ccaf28ecba6f0da536,weyes blood,Weyes Blood,Land Of Broken Dreams,,0.7226092863465293,
7,12b28a8b5d5744ddce17fb0f92d263c6,sufjan stevens,Sufjan Stevens,The Man of Metropolis Steals Our Hearts,,0.7236292335493582,
8,b26c8090f124f7386579a2c1c9e622de,nick drake,Nick Drake,One of These Things First,,0.8353732860932191,
9,23827cd04b69cd0d0b201ee0301fe72d,phoebe bridgers,Phoebe Bridgers,Graceland Too,,0.7910069297618367,
10,7a77ad1d2ad004c8ee1a37b52d043a70,grizzly bear,Grizzly Bear,About Face,,0.688124171325726,
11,acd17a4372e81ac008a8d62cc42a24bb,vampire weekend,Vampire Weekend,Hudson,,0.6542566167043053,
12,ff3e1741817f82699077c44721629215,jim o rourke,Jim O'Rourke,Through The Night Softly,,0.5547303326434994,
13,6ed9b5a803ce39bfc152638e1bccbdd1,radiohead,Radiohead,Glass Eyes,,0.7810892611495702,
14,5709fce26c299597233172d84258be34,cameron winter,Cameron Winter,Drinking Age,,0.7286771083697526,
15,4b94d530be8743e053d72b3606e5ac4c,nick drake,Nick Drake,Northern Sky,,0.8294910917003498,
16,2ff9b1c14df38598c19c5e1c87e2b456,phoebe bridgers,Phoebe Bridgers,Savior Complex,,0.7977059375372324,
17,0723a06ea66918be8f9557e22e60f4ea,feist,Feist,Inside And Out,,0.6818413240165407,
18,cf81f948cc5442bf17505622f72bb02d,kyle m,Kyle M,Disease,,0.5721163146394539,
19,6ef77af6fe0fd2bb2a3ede7b16434ef3,fleet foxes,Fleet Foxes,Featherweight,,0.5762179905811747,
20,60cf68c7ca7b6c978546eb16bc1ea2a4,richard dawson,Richard Dawson,The Fool,,0.8682921064627847,
21,d89112581d75a326b70d33c16ee92a6a,sufjan stevens,Sufjan Stevens,"The Tallest Man, the Broadest Shoulders (Part I: The Great Frontier — Part II: Come to Me Only with Playthings Now)",,0.764924961075844,
22,fd6cef2bffc9d2060a89882e0826633c,nick drake,Nick Drake,Hazey Jane I,,0.830451291581708,
23,3ddb1791e0cef4de15115907bb3a3278,phoebe bridgers,Phoebe Bridgers,Moon Song,,0.7974775586442765,
24,865f5e7a4f1c8d0cd0a59df20bea82f5,cameron winter,Cameron Winter,Cancer of the Skull,,0.9374659444242627,
25,c26913f3fcc0f5f63f369073fd24d40b,nico,Nico,Wrap Your Troubles In Dreams,,0.5336460534737055,
26,a909e7183de0ee3fe4474d61ed3d4471,fleet foxes,Fleet Foxes,I'm Not My Season,,0.53436413307086,
27,a0d514aba7a318dc79bb8e4e1da6a2af,richard dawson,Richard Dawson,The Tip of an Arrow,,0.8522319525059774,
28,38e6a1b3289a23fd67cd7c9aa1243b21,sufjan stevens,Sufjan Stevens,Come On! Feel the Illinoise! (Part I: The World's Columbian Exposition — Part II: Carl Sandburg Visits Me in a Dream),,0.6824421325175839,
29,a49d385f3d67eedefbc4828c0caaf345,weyes blood,Weyes Blood,A Lot's Gonna Change,,0.8172669436916703,
