position,track_id,artist_key,artist_name,title,duration_ms,seed_sim,genres
0,bee37246b632df7dcb8fd0d7d6194306,weyes blood,Weyes Blood,Andromeda,,1.0,
1,bf6d7ca76680165cb7630da14516d341,feist,Feist,Leisure Suite,,0.8829966884375009,
2,7a77ad1d2ad004c8ee1a37b52d043a70,grizzly bear,Grizzly Bear,About Face,,0.850189496749645,
3,826232099f2110c97a5644628c06120a,destroyer,Destroyer,Chinatown,,0.8334668516160371,
4,9922a6ca2d2dccef81ee6bafd6f4d939,the clientele,The Clientele,Conjuring Summer In,,0.5871673428342187,
5,eb77acd6d73a1a8a35013907c2e6354b,fiona apple,Fiona Apple,Cosmonauts,,0.7232866217917088,
6,65bb008aeb2509145059050e2dfa2ae7,nico,Nico,I'll Keep It With Mine,,0.5259882624211182,
7,4c0c341d80cd2a907a5f45f79021caa2,weyes blood,Weyes Blood,Something to Believe,,0.8109866294572686,
8,0723a06ea66918be8f9557e22e60f4ea,feist,Feist,Inside And Out,,0.8639281913874884,
9,60cf68c7ca7b6c978546eb16bc1ea2a4,richard dawson,Richard Dawson,The Fool,,0.8281384463969372,
10,a912dcfc55b62deec4e048e62e35576a,grizzly bear,Grizzly Bear,Southern Point,,0.9193795978886047,
11,9e900131d9ca70c2b125eda798aaade4,destroyer,Destroyer,Downtown,,0.5959390415467254,
12,4b72e4a5ee15a16fee3359b7389c7e89,jim o rourke,Jim O'Rourke,Prelude To 110 Or 120 / Women Of The World,,0.5840661819793315,
13,84eaa00408e0104b2ebda33f29ff66ac,sufjan stevens,Sufjan Stevens,Lo How A Rose E’er Blooming,,0.7103950431155089,
14,a49d385f3d67eedefbc4828c0caaf345,weyes blood,Weyes Blood,A Lot's Gonna Change,,0.7568517075072003,
15,1620822755fec8793c6776b44994ffe4,feist,Feist,Secret Heart,,0.867030333939517,
16,acd17a4372e81ac008a8d62cc42a24bb,vampire weekend,Vampire Weekend,Hudson,,0.7421122632810999,
17,f3d038bf0661f149376a32ab3f69fa6f,grizzly bear,Grizzly Bear,All We Ask,,0.6651562287651291,
18,cfe92bf1b3a94aff96489eac52aeae33,the lemon twigs,The Lemon Twigs,I Don’t Belong To Me,,0.5493813121526896,
19,87f5e6abed49063bc508f6c62d49544c,nico,Nico,Somewhere There's A Feather,,0.4344250382353858,
20,2a1f45447a3231afe758f26d89c85f86,the clientele,The Clientele,Claire's not Real,,0.5917111142270383,
21,fb2b5741eed97ba6c2c8ea6f081f2cc8,weyes blood,Weyes Blood,Mirror Forever,,0.8362649262553513,
22,2257fbd17e087c087fb2c2148934adca,feist,Feist,Mushaboom,,0.8747160541262234,
23,60f4787d0b36fab06d08c3dc5491fb15,fiona apple,Fiona Apple,Drumset,,0.6854688290534718,
24,e625b4da88107c82a489d6cc8e938768,grizzly bear,Grizzly Bear,Fine For Now,,0.5201800671343124,
25,3d84c7e42aac1333d281b830285a2f88,bill callahan bonnie prince billy,"Bill Callahan & Bonnie ""Prince"" Billy",Our Anniversary,,0.6075306977437275,
26,ce353b3faf1624b1636787d0a8d4cacd,jim o rourke,Jim O'Rourke,Happy Holidays,,0.4314065425685447,
27,a0d514aba7a318dc79bb8e4e1da6a2af,richard dawson,Richard Dawson,The Tip of an Arrow,,0.578863850993173,
28,c38ac12ff83c6d1c5c227b1d761d5027,nico,Nico,Chelsea Girls,,0.634983969267189,
29,4e9d06215ef4c08d01da2b8dd9c2e6d1,alex g,Alex G,After All,,0.600519356921352,
