position,track_id,artist_key,artist_name,title,duration_ms,seed_sim,genres
0,89f67bd19c13c2c481bd583206ce44d9,aaliyah,Aaliyah,Rock The Boat,,1.0,
1,8395381824acef4e251c53f42fc7f66f,mariah carey,Mariah Carey,I've Been Thinking About You,,0.9524160777530056,
2,c22a6414588b517418c298f6da73b827,marvin gaye,Marvin Gaye,My Love Is Waiting,,0.9337071817187677,
3,c1ce2ed218e630dc081387291003d14e,d angelo,D'Angelo,Left And Right,,0.9020383912175428,
4,05d23d4bc23e7eb756a1db9eba8d60f9,stevie wonder,Stevie Wonder,Summer Soft,,0.8709341858763959,
5,921f02634bb5f680fc4c2e8d0d361663,kashif,Kashif,Don't Stop My Love,,0.8246395646217054,
6,e542768b5c50f20da3a9ee817689cb2d,frank ocean,Frank Ocean,Super Rich Kids [feat. Earl Sweatshirt],,0.8953361861552578,
7,0e9354403e7890f52d38929a72808acc,the temptations,The Temptations,Cloud Nine,,0.8205920820389113,
8,8ef565d669074a36c4fb2d4e28ac81d5,aaliyah,Aaliyah,Loose Rap,,0.9222426582701412,
9,e895ad743b31fe49aff848e1cf845a64,solange,Solange,Cranes in the Sky,,0.9039527464762426,
10,018fffa19c331528846691fd7e6d1d20,durand jones the indications,Durand Jones & The Indications,Morning in America,,0.8773967893515306,
11,e5242fd6cdb31a9862cac9681e7c5f84,jackson 5,Jackson 5,(Come 'Round Here) I'm The One You Need,,0.859858387781478,
12,64846653bd0168e8ce6fd1a28f7b2a2f,tops,TOPS,Cutlass Cruiser,,0.9308878437399849,
13,ee57195d8ae78f0b413420e6e8352e74,michael jackson,Michael Jackson,Burn This Disco Out,,0.7257522120267031,
14,a3f02d846c1ef4f131c3e2e819a2b5be,the supremes,The Supremes,Ask Any Girl,,0.7641049035367966,
15,99c91598434025b5cd6da96d14512e96,aaliyah,Aaliyah,Street Thing,,0.877234125660676,
16,c6f631940f87a71014f9a57b72a7b9c7,patrice rushen,Patrice Rushen,To Each His Own,,0.8997444564849386,
17,b3b587b0089c66cb4883ef51ee964ba4,solange,Solange,Scales,,0.8372482031005317,
18,67345d7f7c945c0187b96a549ccfda7b,yaya bey,Yaya Bey,dream girl,,0.7368855290193508,
19,29244db79bb4c6ab2a0abe37890e47d9,erykah badu,Erykah Badu,Rimshot (Outro),,0.8154698147837824,
20,ba64b9b07a6caf26e0b2f16d73d3c8b7,stevie wonder,Stevie Wonder,Ebony Eyes,,0.8598523853759641,
21,7a3c8d3c67ab0cede0cd3503b14f6aa7,mariah carey,Mariah Carey,Dreamlover (Def Club Mix),,0.832916488451818,
22,7c29bb95f959037d5b3155f722cfc5a0,aaliyah,Aaliyah,We Need A Resolution,,0.952041050139121,
23,2e88b1c3ae4cfa5eabc1bacb79b2b67d,maxwell,Maxwell,...Til the Cops Come Knockin' (Remastered 2021),,0.8757395141944647,
24,b61440d8780abbaac5ecefb565d50693,marvin gaye,Marvin Gaye,'Til Tomorrow,,0.9037695536601221,
25,1598d19bb3b770f3782533feb15c37d4,curtis mayfield,Curtis Mayfield,Underground,,0.9391945953173492,
26,aa1d68c0da2e2ab76898f9aa703b048d,d angelo,D'Angelo,Greatdayndamornin'/Booty,,0.8236679373460253,
27,082a1904dc78c43d87b734d72e3cda49,the temptations,The Temptations,Gonna Keep on Tryin' Till I Win Your Love,,0.871056381137382,
28,0bbbefd69bf921e0dff44016667a4e12,mariah carey,Mariah Carey,"Dreamlover (Live at Proctor's Theater, NY - 1993)",,0.9173625345612293,
29,a1b10b7f8156c84d4e8e5d07fe7f0ea6,lizzo,Lizzo,Pink,,0.8444313254588964,
