position,prev_track_id,next_track_id,prev_artist,next_artist,sonic_sim,genre_sim,hybrid_sim,transition_sim,transition_raw,transition_centered,below_floor,same_artist
0,33f74d3e1cd2667cb332161fd86998eb,399068d61de867a80bc0977c6ec7bc5d,sonic youth,ekko astral,0.9990308553641936,0.9503901600837708,0.875499698067916,0.9992816697537505,0.9992816697537505,0.9992816697537505,False,False
1,399068d61de867a80bc0977c6ec7bc5d,a80f3488febb7bcd1017a48d49d397e6,ekko astral,metz,0.9996614976318225,0.9307703375816345,0.8233555834219952,0.9996877016807415,0.9996877016807415,0.9996877016807415,False,False
2,a80f3488febb7bcd1017a48d49d397e6,cd1b31d0956468b2fa0e509db0395e4a,metz,unwound,0.9978284380553236,0.8591815233230591,0.773203209859164,0.9983621690400123,0.9983621690400123,0.9983621690400123,False,False
3,cd1b31d0956468b2fa0e509db0395e4a,3098410db1d607a9dfa094f2fae0d36d,unwound,butthole surfers,0.9993048676483404,0.8437138795852661,0.625830432474809,0.9982939353718577,0.9982939353718577,0.9982939353718577,False,False
4,3098410db1d607a9dfa094f2fae0d36d,e66fdec08f8be5bc7fcb3327a9708fc5,butthole surfers,minutemen,0.999757371885888,0.7989327907562256,0.7451826035117266,0.9984321582218885,0.9984321582218885,0.9984321582218885,False,False
5,e66fdec08f8be5bc7fcb3327a9708fc5,9ce6c7dc91e767ad6597cac95e1b325e,minutemen,no age,0.9968067311760647,0.7748934030532837,0.7446433864686617,0.9968067311760647,0.9968067311760647,0.9968067311760647,False,False
6,9ce6c7dc91e767ad6597cac95e1b325e,020d970b48f98805d10f620abe49a629,no age,sonic youth,0.9994343424493881,0.9268655776977539,0.8380313038812534,0.9993918370580006,0.9993918370580006,0.9993918370580006,False,False
7,020d970b48f98805d10f620abe49a629,3f3620c9d74a63f946adaa1de36bb513,sonic youth,wire,0.9980218744815076,0.9083818793296814,0.838877926120211,0.9989476664144995,0.9989476664144995,0.9989476664144995,False,False
8,3f3620c9d74a63f946adaa1de36bb513,2752d73f0ac0b67962102dbd403e8205,wire,big black,0.9966331387031593,0.8297642469406128,0.7230274247339116,0.9557477831691654,0.9557477831691654,0.9557477831691654,False,False
9,2752d73f0ac0b67962102dbd403e8205,5d293ba2d764a59014d29097bdf01e03,big black,modest mouse,0.999530238711119,0.7840666174888611,0.5944043383309194,0.9995426629881299,0.9995426629881299,0.9995426629881299,False,False
