position,track_id,artist_key,artist_name,title,duration_ms,seed_sim,genres
0,370b83ca5f025ddf99d67c885df37cef,beach house,Beach House,Once Twice Melody,,1.0,
1,8295623571174ca855c9fddb76cfe752,yo la tengo,Yo La Tengo,Butchie's Tune,,0.7514965222244712,
2,c7c0585b1cc1f15933858e42a5180dbd,duster,Duster,Unrecovery,,0.5772163914686949,
3,0c021e1b386473e7acfb8d47c9b04c1e,real estate,Real Estate,Interior,,0.5018057706981903,
4,6bfe8758958615a2d3126b456fe2134a,spirit of the beehive,SPIRIT OF THE BEEHIVE,SORRY PORE INJECTOR,,0.5615288515505342,
5,2d720cbb944f44da28d75ef51d9255d5,stephen steinbrink,Stephen Steinbrink,Empty Vessel,,0.723453510672586,
6,8d554b74a93ad9100630da70c172f296,sound of ceres,Sound of Ceres,Arm of Golden Flame (feat. Marina Abramovic) ,,0.6644170307581604,
7,004b3cd69fdcb91081575e8e1e970230,beach house,Beach House,10:37,,0.7493732370293138,
8,c8758499a8298ad82d4b31ed815197be,wednesday,Wednesday,Revenge Of The Lawn,,0.6335710763181006,
9,0394de2d83a7af0fac4bee5b40d96dfc,cathedral bells,Cathedral Bells,Disconnected,,0.5152556891754986,
10,2ba86e00b8ddf435bd6064dfcb6943ed,slow pulp,Slow Pulp,Broadview,,0.4424834359514628,
11,3bbc79c6bc76b1c7bdd06d5073b5b38f,the clientele,The Clientele,Losing Haringey,,0.47424970235971387,
12,ad07647f5a08b7257b4cef07756be2b4,youth lagoon,Youth Lagoon,Canary,,0.5587991659399051,
13,61f14ba646f0cf893ef1d5000f8aeb9d,the spirit of the beehive,The Spirit Of The Beehive,Cops Come Looking,,0.48166785004006346,
14,638eada3374ec8969fcd98ea46e73ede,beach house,Beach House,Only You Know,,0.5648230546031527,
15,63cbe9ff39459853d985a2c2151bb955,the radio dept,The Radio Dept.,Strange Things Will Happen,,0.6207295166482667,
16,e7677cca398f4cbcaa8ab22f16074ca6,wild nothing,Wild Nothing,Prima,,0.6288039634686574,
17,a2d3f815f1e151e66509372b224f2c81,early day miners,Early Day Miners,Placer Found,,0.37164092207130556,
18,9c6cfa98d3b83a55458b90e42319d5fa,real estate,Real Estate,Talking Backwards,,0.5758249476347904,
19,f5c794504d6a0ac5e27e9010f46202fb,mount eerie,Mount Eerie,"the Gleam, Pt. 3",,0.4835432622012015,
20,0ff9b7ab3f3d2eb345cd2fa1302160b6,yo la tengo,Yo La Tengo,All Your Secrets,,0.43008228161162027,
21,1c966c9a965534977ebd9ff9a8ce1e9f,beach house,Beach House,The Traveller,,0.588059241602111,
22,7c209d7df711a3ebf4c1fb68d3f3021d,diiv,DIIV,Little Birds,,0.581585208701252,
23,59448820fd0ac9b7f23b1b8e89487fac,duster,Duster,Stratosphere,,0.48886287223032504,
24,1cb37b88c1adadc7477d3f59c19866b3,youth lagoon,Youth Lagoon,17,,0.4709960139390112,
25,b1a826110991db8a0aca747ba6a14dff,wednesday,Wednesday,November,,0.5325556192302444,
26,bc3476538d6136b4e607c044b05ab096,dirty projectors,Dirty Projectors,The Bride,,0.6039319422346079,
27,92ff3169c75dcab9a0e80635970b593d,yo la tengo,Yo La Tengo,The Ballad Of Red Buckets,,0.5845923607056266,
28,262e8d58457bfedfbac54b0d338a1905,men i trust,Men I Trust,Sugar,,0.4554078643584487,
29,6025c7b78c0161d21a3f0e66c95660f3,microphones,Microphones,Karl Blau,,0.511784281927521,
