position,track_id,artist_key,artist_name,title,duration_ms,seed_sim,genres
0,217ca230e96b4ce9597469be5e6e84a9,marvin gaye,Marvin Gaye,Let's Get It On,,1.0,
1,ba64b9b07a6caf26e0b2f16d73d3c8b7,stevie wonder,Stevie Wonder,Ebony Eyes,,0.9769607319005055,
2,69e1a3b7d645ec6d9d66ad39c93d7da4,the temptations,The Temptations,I Heard It Through the Grapevine,,0.9819045424059483,
3,6c767b41762e9f4dbb739ac234c3703c,tops,TOPS,Seconds Erase,,0.9352565538148793,
4,7c445162256962fa510786533fdb296f,jackson 5,Jackson 5,2-4-6-8,,0.9430764054341282,
5,ff1b261f6c1c662423407e91782ab778,sly the family stone,Sly & The Family Stone,(You Caught Me) Smilin' ,,0.924886120446804,
6,b03922e8c616dc428e8e702331fb66e2,curtis mayfield,Curtis Mayfield,Get Down (Single Version),,0.9571858798577402,
7,a3f02d846c1ef4f131c3e2e819a2b5be,the supremes,The Supremes,Ask Any Girl,,0.9372504914239352,
8,7c29bb95f959037d5b3155f722cfc5a0,aaliyah,Aaliyah,We Need A Resolution,,0.891099184010599,
9,2f1676f577891c047e54f2e38849bdad,marvin gaye,Marvin Gaye,Let's Get It On (Single Version),,0.9300279696219691,
10,efb26ca620b1898d28ea6e871099555a,isaac hayes,Isaac Hayes,Use Me,,0.9236521324303444,
11,915342216b69c2b9a22c33186afd1bd0,durand jones the indications,Durand Jones & The Indications,If Not For Love (feat. Aaron Frazer),,0.8801224309378717,
12,a7dd0e861e6c8dcbe4a7c6b8df715435,maxwell,Maxwell,Welcome (Remastered 2021),,0.9467731886336416,
13,1829f34c01b309b1b5c4c49e97e007bf,patrice rushen,Patrice Rushen,Look Up!,,0.8434268552882257,
14,baf808894ef8e75deb3746fb975529d8,mariah carey,Mariah Carey,"Anytime You Need a Friend (Live at Proctor's Theater, NY - 1993)",,0.8748994906958499,
15,eda4186a9674ef8eccfca63fd385a2ad,stevie wonder,Stevie Wonder,I Wish,,0.9205243390118263,
16,9a7705a7ca17b967928b9663de096337,marvin gaye,Marvin Gaye,Let's Get It On (Demo),,0.9739484048721733,
17,88c706665d92c5f8a58ff319bb234894,the temptations,The Temptations,I Gotta Find a Way (To Get You Back),,0.9666213228267422,
18,7357e230583c173cc6c904b2e933b279,tops,TOPS,Petals,,0.9408604202151891,
19,88957233985c78997a4f8ba41c81cde5,d angelo,D'Angelo,Untitled (How Does It Feel),,0.8310500409835941,
20,7f1cfe35ccebab59cc66c44e3315bdbf,jackson 5,Jackson 5,La La (Means I Love You),,0.809953849726712,
21,fdca027318ce0d9908eb8e291ae8ecc0,yaya bey,Yaya Bey,aye noche (feat. RAHRAH GABOR & Exaktly),,0.8006348836298274,
22,a35b42a52272c55112a94998fbcf0eec,stevie wonder,Stevie Wonder,Contusion,,0.8636299873785834,
23,8056b3d2d2f4e98522e2324dbbd9123d,marvin gaye,Marvin Gaye,Let's Get It On (Pt. II),,0.958668007392783,
24,0e9354403e7890f52d38929a72808acc,the temptations,The Temptations,Cloud Nine,,0.9521491296795839,
25,0179a1da07349c5755995a70f59fb330,tops,TOPS,Dayglow Bimbo,,0.9301138912627197,
26,9e811c1dabdb3e81fb51ed5d80173993,james brown,James Brown,Stone To The Bone,,0.8407207839883262,
27,5d3db752aa252229330d4de78f0c2e89,jackson 5,Jackson 5,I'll Bet You,,0.8557293531439352,
28,1f878077e10e5cb3c23a0f32e2b27a5d,sly the family stone,Sly & The Family Stone,Brave & Strong ,,0.9243352746797063,
29,1d2446b80bf7529e690eeae5049ab746,stevie wonder,Stevie Wonder,Ordinary Pain,,0.9500384466307452,
