position,track_id,artist_key,artist_name,title,duration_ms,seed_sim,genres
0,95502f5fcb7a54132c50c6d5dc1fc8e2,bill evans,Bill Evans,The Two Lonely People (aka The Man and the Woman),,1.0,
1,feb47a07ed0f0f06fc22206ad3649bbe,mccoy tyner,McCoy Tyner,For Heaven's Sake,,0.9558698842214075,
2,04ba9019711970c391d6477d9bb16e55,wayne shorter,Wayne Shorter,Genesis,,0.9430261141044477,
3,1853566610a287df9c0e5b4c94d927cf,bill evans trio,Bill Evans Trio,Some Day My Prince Will Come,,0.9330000921196487,
4,dbe3b138ac68a5dd44964e9b34c0325e,ahmad jamal,Ahmad Jamal,Manhattan Reflections,,0.9291656511542368,
5,51550ad1c9bf16afd742ab55aa4e71b9,miles davis,Miles Davis,My Ship (Mono Version),,0.8962084225343967,
6,8999dfdec52915c55969f213c130572e,shelly manne,Shelly Manne,Stella By Starlight,,0.8920446399047403,
7,d13bfbc91ad7d496b983db089b12602a,john coltrane,John Coltrane,I Want To Talk About You,,0.9290662670587575,
8,8061f62e4029a7aa8945e56dce7eeb22,charles mingus,Charles Mingus,Self-Portrait In Three Colors,,0.977795828793492,
9,105248f464d3abeb164d0d7bdf2660af,milt jackson,Milt Jackson,Evidence,,0.8843765688002247,
10,eb3dccf810df2d1f98126dc771b5b11b,freddie hubbard,Freddie Hubbard,Weaver Of Dreams,,0.8926130941511056,
11,258cae77f9aec04714ed89b25660ec07,wayne shorter,Wayne Shorter,Teru,,0.9093964071661448,
12,0389590bd538409c536315667d674409,eric dolphy,Eric Dolphy,"Something Sweet, Something Tender",,0.9033126103247486,
13,7ce64a513179639ed7a8c3b89cce1829,joe henderson,Joe Henderson,Recorda-Me,,0.9330690988140287,
14,53c888c322d3b04e14acb78ed1c09410,john coltrane quartet,John Coltrane Quartet,Wise One,,0.9071808369236919,
15,e16ad320afe7b144d7781bb6c197ea88,herbie hancock,Herbie Hancock,Little One,,0.8734933339417322,
16,4444e51e9389ea253b530cd873620b2b,bobby hutcherson,Bobby Hutcherson,Movement,,0.8342059730240056,
17,bd21029a219dc94dae2c5d12c690f4e8,mccoy tyner,McCoy Tyner,Blue Monk,,0.8514965655512087,
18,ba1cb74158fd2157f97e9305aaa9c1b5,bill evans,Bill Evans,On a Clear Day (You Can See Forever) (Alternative Take),,0.9652568589453344,
19,556cf44df9e65a4a9f48424bcb83378b,pharoah sanders,Pharoah Sanders,Harvest Time,,0.890372720570917,
20,366d166f1c0195f668331508e0ce1b10,lee morgan,Lee Morgan,Ceora,,0.7955186933361695,
21,feb865be5750133cf0dc7266396f09ca,sun ra,Sun Ra,Discipline 33,,0.7909685175084528,
22,4b8b16ce0a66169c4a5643794785a5df,john coltrane,John Coltrane,Russian Lullaby,,0.9384849249196693,
23,aad2d53558f58fcc97ac21b616a5836a,art blakey and the jazz messengers,Art Blakey and The Jazz Messengers,Moanin',,0.8646314046641553,
24,04b8b29e96d77ef380165666681c7e02,mccoy tyner,McCoy Tyner,We'll Be Together Again,,0.846384646500986,
25,55b0dfa59f4adf06e64869fafd66055a,bill evans,Bill Evans,On a Clear Day (You Can See Forever) - alternative take,,0.9415008102165776,
26,c8cc0768a20cfdd3a5ca2d91b84bf8f1,cecil taylor,Cecil Taylor,Tales (8 Whisps),,0.8438731790170508,
27,94b997003d3afb7c8fba46dec90d04c7,wayne shorter,Wayne Shorter,Face of the Deep,,0.8447875596298786,
28,d316213e54e7dd1b36ad3948908b7a5b,kenny dorham,Kenny Dorham,Lotus Flower,,0.806937263485107,
29,7c6b5d644550ff55b650d35071689a07,john coltrane,John Coltrane,Theme For Ernie,,0.8107520729512777,
