position,prev_track_id,next_track_id,prev_artist,next_artist,sonic_sim,genre_sim,hybrid_sim,transition_sim,transition_raw,transition_centered,below_floor,same_artist
0,5bbb5c1c2481bca6cfefde01466129e2,8aef94b97a51495b8b90774e2001f7d2,bill evans,mccoy tyner,0.9717448021296483,0.9334027767181396,0.93912088497825,0.9514008415326741,0.9514008415326741,0.9514008415326741,False,False
1,8aef94b97a51495b8b90774e2001f7d2,04ba9019711970c391d6477d9bb16e55,mccoy tyner,wayne shorter,0.999623149549267,0.8895573019981384,0.92514418931669,0.9967498649681147,0.9967498649681147,0.9967498649681147,False,False
2,04ba9019711970c391d6477d9bb16e55,51550ad1c9bf16afd742ab55aa4e71b9,wayne shorter,miles davis,0.9908799905108261,0.9240479469299316,0.8998685732440941,0.9971921808948291,0.9971921808948291,0.9971921808948291,False,False
3,51550ad1c9bf16afd742ab55aa4e71b9,5bea726aa6c113238893b0a2b8b50f64,miles davis,shelly manne,0.9980643389308524,0.8685611486434937,0.8787518456832383,0.9955061795619453,0.9955061795619453,0.9955061795619453,False,False
4,5bea726aa6c113238893b0a2b8b50f64,dbe3b138ac68a5dd44964e9b34c0325e,shelly manne,ahmad jamal,0.9940640044597439,0.8969590067863464,0.849293155370385,0.9914899191365938,0.9914899191365938,0.9914899191365938,False,False
5,dbe3b138ac68a5dd44964e9b34c0325e,d13bfbc91ad7d496b983db089b12602a,ahmad jamal,john coltrane,0.9993291334075451,0.8720160126686096,0.8844935752290704,0.9748142749406274,0.9748142749406274,0.9748142749406274,False,False
6,d13bfbc91ad7d496b983db089b12602a,e746afe5a44aaea39dc665663f80421a,john coltrane,bill evans,0.9603104757088824,0.8285494446754456,0.8944507283784732,0.9773591042477148,0.9773591042477148,0.9773591042477148,False,False
7,e746afe5a44aaea39dc665663f80421a,1853566610a287df9c0e5b4c94d927cf,bill evans,bill evans trio,0.9760394706495386,0.9160683751106262,0.8871627321020858,0.9570392838348469,0.9570392838348469,0.9570392838348469,False,False
8,1853566610a287df9c0e5b4c94d927cf,105248f464d3abeb164d0d7bdf2660af,bill evans trio,milt jackson,0.9986565253240731,0.9432889223098755,0.9006303624212075,0.9983834883590089,0.9983834883590089,0.9983834883590089,False,False
9,105248f464d3abeb164d0d7bdf2660af,eb3dccf810df2d1f98126dc771b5b11b,milt jackson,freddie hubbard,0.9980390694976111,0.8987761735916138,0.8456907942411855,0.9967015339262405,0.9967015339262405,0.9967015339262405,False,False
10,eb3dccf810df2d1f98126dc771b5b11b,e16ad320afe7b144d7781bb6c197ea88,freddie hubbard,herbie hancock,0.9996692145606723,0.9613910913467407,0.9372025449733794,0.9998181007056828,0.9998181007056828,0.9998181007056828,False,False
11,e16ad320afe7b144d7781bb6c197ea88,8061f62e4029a7aa8945e56dce7eeb22,herbie hancock,charles mingus,0.9989206228277541,0.851527988910675,0.8785407873551392,0.9852487313852811,0.9852487313852811,0.9852487313852811,False,False
12,8061f62e4029a7aa8945e56dce7eeb22,7ce64a513179639ed7a8c3b89cce1829,charles mingus,joe henderson,0.9994826689740315,0.9157369136810303,0.9208211160155102,0.9990888875224263,0.9990888875224263,0.9990888875224263,False,False
13,7ce64a513179639ed7a8c3b89cce1829,7dfc26a23c15e9f0322bfb01f0e6d9ab,joe henderson,bill evans,0.9728943103483638,0.8133662939071655,0.8520628019843423,0.9721469620191299,0.9721469620191299,0.9721469620191299,False,False
14,7dfc26a23c15e9f0322bfb01f0e6d9ab,9fb6e640679ad031b44f09fa5475d8b5,bill evans,bobby timmons,0.9967812928249382,0.7304727435112,0.8308300132794451,0.9976715801114584,0.9976715801114584,0.9976715801114584,False,False
15,9fb6e640679ad031b44f09fa5475d8b5,5f931ab6304d27306e98f7e664d8dd27,bobby timmons,bobby hutcherson,0.9950211805290009,0.8707783222198486,0.7936239251579548,0.9975234330157344,0.9975234330157344,0.9975234330157344,False,False
16,5f931ab6304d27306e98f7e664d8dd27,c8cc0768a20cfdd3a5ca2d91b84bf8f1,bobby hutcherson,cecil taylor,0.992881953824913,0.7480978965759277,0.845299375790349,0.9977018265537316,0.9977018265537316,0.9977018265537316,False,False
17,c8cc0768a20cfdd3a5ca2d91b84bf8f1,d316213e54e7dd1b36ad3948908b7a5b,cecil taylor,kenny dorham,0.9975561296992927,0.677185595035553,0.7349602654826579,0.9917908458029229,0.9917908458029229,0.9917908458029229,False,False
18,d316213e54e7dd1b36ad3948908b7a5b,366d166f1c0195f668331508e0ce1b10,kenny dorham,lee morgan,0.9961870921028744,0.9138243794441223,0.7967122632409301,0.9996270492706734,0.9996270492706734,0.9996270492706734,False,False
19,366d166f1c0195f668331508e0ce1b10,f7036a390e56dc7f6696f31c9c5ba79d,lee morgan,john coltrane quartet,0.9997318296645947,0.8004052042961121,0.9035454839481184,0.9979790564957269,0.9979790564957269,0.9979790564957269,False,False
20,f7036a390e56dc7f6696f31c9c5ba79d,95502f5fcb7a54132c50c6d5dc1fc8e2,john coltrane quartet,bill evans,0.9775290117931644,0.8744248747825623,0.8285655406014546,0.9798144748620186,0.9798144748620186,0.9798144748620186,False,False
21,95502f5fcb7a54132c50c6d5dc1fc8e2,feb47a07ed0f0f06fc22206ad3649bbe,bill evans,mccoy tyner,0.9952435634235078,0.9334027767181396,0.9316403463769783,0.998367188466429,0.998367188466429,0.998367188466429,False,False
22,feb47a07ed0f0f06fc22206ad3649bbe,0389590bd538409c536315667d674409,mccoy tyner,eric dolphy,0.9978317581179523,0.8899772763252258,0.8213504718965334,0.9978220297757819,0.9978220297757819,0.9978220297757819,False,False
23,0389590bd538409c536315667d674409,556cf44df9e65a4a9f48424bcb83378b,eric dolphy,pharoah sanders,0.9983121528738893,0.9274246096611023,0.8416860949977495,0.9969702234757544,0.9969702234757544,0.9969702234757544,False,False
24,556cf44df9e65a4a9f48424bcb83378b,4b8b16ce0a66169c4a5643794785a5df,pharoah sanders,john coltrane,0.9917813324648918,0.9414182901382446,0.8540293521802338,0.9954322716183438,0.9954322716183438,0.9954322716183438,False,False
25,4b8b16ce0a66169c4a5643794785a5df,aad2d53558f58fcc97ac21b616a5836a,john coltrane,art blakey and the jazz messengers,0.999770935359451,0.7272706031799316,0.853300751776284,0.9991724524567411,0.9991724524567411,0.9991724524567411,False,False
26,aad2d53558f58fcc97ac21b616a5836a,caf9e807c03e0a463ef0611b66281c07,art blakey and the jazz messengers,miles davis,0.9964785019469153,0.7973377108573914,0.8041651325896199,0.9986114733553697,0.9986114733553697,0.9986114733553697,False,False
27,caf9e807c03e0a463ef0611b66281c07,94b997003d3afb7c8fba46dec90d04c7,miles davis,wayne shorter,0.995574939757267,0.9240479469299316,0.8735852186312277,0.9942015787229983,0.9942015787229983,0.9942015787229983,False,False
28,94b997003d3afb7c8fba46dec90d04c7,5b3e03b9186a396af25b533614915077,wayne shorter,andrew hill,0.9983071462295535,0.9127740263938904,0.7168898906210122,0.998548617847209,0.998548617847209,0.998548617847209,False,False
