position,prev_track_id,next_track_id,prev_artist,next_artist,sonic_sim,genre_sim,hybrid_sim,transition_sim,transition_raw,transition_centered,below_floor,same_artist
0,5b78debacd8a7adfc6476fb4c2ad3315,cbf61fd1059f73673e92c329b7fac74e,sufjan stevens,nick drake,0.998112355610457,0.8262805938720703,0.8077736920468235,0.9964343061643092,0.9964343061643092,0.9964343061643092,False,False
1,cbf61fd1059f73673e92c329b7fac74e,686d1c3c431e72da87a689721c91963d,nick drake,phoebe bridgers,0.9946762811774716,0.8509330749511719,0.7464665845341395,0.9953470449470818,0.9953470449470818,0.9953470449470818,False,False
2,686d1c3c431e72da87a689721c91963d,cf484c354bce6967aab23aea4d920a73,phoebe bridgers,fleet foxes,0.9994697675292596,0.9061635136604309,0.8530760059194368,0.9961461126555048,0.9961461126555048,0.9961461126555048,False,False
3,cf484c354bce6967aab23aea4d920a73,674251e0033a9e23f831278487a43d94,fleet foxes,richard dawson,0.9984950712889119,0.9210180640220642,0.7758555170012332,0.989094505782204,0.989094505782204,0.989094505782204,False,False
4,674251e0033a9e23f831278487a43d94,a49d385f3d67eedefbc4828c0caaf345,richard dawson,weyes blood,0.9972512016020255,0.8662061095237732,0.7414745294532141,0.9895535266014776,0.9895535266014776,0.9895535266014776,False,False
5,a49d385f3d67eedefbc4828c0caaf345,f3d038bf0661f149376a32ab3f69fa6f,weyes blood,grizzly bear,0.9981686320325602,0.8896402716636658,0.8197039167192516,0.99438703935228,0.99438703935228,0.99438703935228,False,False
6,f3d038bf0661f149376a32ab3f69fa6f,38e6a1b3289a23fd67cd7c9aa1243b21,grizzly bear,sufjan stevens,0.9933505804373551,0.8207858800888062,0.7073859091648472,0.9984034827773746,0.9984034827773746,0.9984034827773746,False,False
7,38e6a1b3289a23fd67cd7c9aa1243b21,b26c8090f124f7386579a2c1c9e622de,sufjan stevens,nick drake,0.9924154162210843,0.8262805938720703,0.8164245895574214,0.9991311190423685,0.9991311190423685,0.9991311190423685,False,False
8,b26c8090f124f7386579a2c1c9e622de,23827cd04b69cd0d0b201ee0301fe72d,nick drake,phoebe bridgers,0.9917664829144222,0.8509330749511719,0.7360513050694056,0.992119874474873,0.992119874474873,0.992119874474873,False,False
9,23827cd04b69cd0d0b201ee0301fe72d,9f114dfc3cecade003a0fba34a939a7b,phoebe bridgers,cameron winter,0.999697331499064,0.9314010739326477,0.8371365165943034,0.9986227955422753,0.9986227955422753,0.9986227955422753,False,False
