position,prev_track_id,next_track_id,prev_artist,next_artist,sonic_sim,genre_sim,hybrid_sim,transition_sim,transition_raw,transition_centered,below_floor,same_artist
0,245605408d2c8a532b13ca6a71b1352f,b3140aebd8d8cbd391209b2d78369324,built to spill,dinosaur jr,0.999833476458152,0.9134874939918518,0.8267685875597172,0.9994098243371897,0.9994098243371897,0.9994098243371897,False,False
1,b3140aebd8d8cbd391209b2d78369324,a5281b5bb8931ebe12ed9fe78db9921c,dinosaur jr,pavement,0.9986494198189977,0.9165668487548828,0.7182294095063165,0.9975698151074189,0.9975698151074189,0.9975698151074189,False,False
2,a5281b5bb8931ebe12ed9fe78db9921c,9cbac1c89128439b4295e6c4fcb30644,pavement,marcy playground,0.9994798280117977,0.8162860870361328,0.7471510617844535,0.999375754850446,0.999375754850446,0.999375754850446,False,False
3,9cbac1c89128439b4295e6c4fcb30644,2abb7004d6a6f55a49991ae23ddf487a,marcy playground,teen suicide,0.9989396259022807,0.694032609462738,0.6947738773030195,0.9965797696789465,0.9965797696789465,0.9965797696789465,False,False
4,2abb7004d6a6f55a49991ae23ddf487a,630515151041e51415cb238590bcead0,teen suicide,dead kennedys,0.9990603605871913,0.6800581812858582,0.631246515664909,0.9991192006170617,0.9991192006170617,0.9991192006170617,False,False
5,630515151041e51415cb238590bcead0,9204a8e75897c7c3099ffc992872e8a6,dead kennedys,fugazi,0.9995676677676587,0.823766827583313,0.810363428425304,0.9995075622067748,0.9995075622067748,0.9995075622067748,False,False
6,9204a8e75897c7c3099ffc992872e8a6,600266312a0bd1e438683d21c3481eca,fugazi,built to spill,0.9996032372960911,0.782738447189331,0.7009270788298907,0.9994763828833557,0.9994763828833557,0.9994763828833557,False,False
7,600266312a0bd1e438683d21c3481eca,dd0b1c07b3be7d18dcf857b0f7979ab4,built to spill,krill,0.9998662854558138,0.881614625453949,0.6984581465563827,0.9979366241596029,0.9979366241596029,0.9979366241596029,False,False
8,dd0b1c07b3be7d18dcf857b0f7979ab4,2a47d924e4382aa7c564755c29f7b282,krill,the spirit of the beehive,0.9998924218826266,0.8547420501708984,0.8069249382788835,0.9995103995017419,0.9995103995017419,0.9995103995017419,False,False
9,2a47d924e4382aa7c564755c29f7b282,7de6c966faa120ccb0693c432744dfb3,the spirit of the beehive,jay reatard,0.999018499540428,0.820762574672699,0.6376647107745085,0.9978170837765923,0.9978170837765923,0.9978170837765923,False,False
10,7de6c966faa120ccb0693c432744dfb3,fcc193d39d00aff531acf81b25c5b73f,jay reatard,everyone asked about you,0.9999180337711675,0.5962157249450684,0.7382764597234343,0.9997610167522528,0.9997610167522528,0.9997610167522528,False,False
11,fcc193d39d00aff531acf81b25c5b73f,6a0d0b21540a15cbcd5e3d303bafc73a,everyone asked about you,interpol,0.9980748644347803,0.5856510996818542,0.4688129458786507,0.9972593684227478,0.9972593684227478,0.9972593684227478,False,False
12,6a0d0b21540a15cbcd5e3d303bafc73a,46e7089415aa183a6609c8a99f852610,interpol,ramones,0.9997086812122696,0.41339147090911865,0.6427279471046194,0.9920243321786391,0.9920243321786391,0.9920243321786391,False,False
13,46e7089415aa183a6609c8a99f852610,1118935542e8e4603fb5ea16113ad566,ramones,wet leg,0.9990549136383976,0.3708540201187134,0.5705214637575111,0.9983498374688189,0.9983498374688189,0.9983498374688189,False,False
14,1118935542e8e4603fb5ea16113ad566,052635cf2d4084215b1f947dfec4d9f3,wet leg,the get up kids,0.9998386201422336,0.8363456726074219,0.6391193158616747,0.9998082231384322,0.9998082231384322,0.9998082231384322,False,False
15,052635cf2d4084215b1f947dfec4d9f3,5f065925c384ab776b67d65b0028cbc4,the get up kids,minor threat,0.9994403911191196,0.3042020797729492,0.6422314803186894,0.9995594846507958,0.9995594846507958,0.9995594846507958,False,False
16,5f065925c384ab776b67d65b0028cbc4,c2f3dcfac30d5b31dd94ea8a04f02504,minor threat,clap your hands say yeah,0.9990275849700265,0.24478207528591156,0.7548476119749076,0.9965907661424335,0.9965907661424335,0.9965907661424335,False,False
17,c2f3dcfac30d5b31dd94ea8a04f02504,6e1f5a99acea327c4a854d0a6f1d6cd1,clap your hands say yeah,lost sounds,0.9998719105892093,0.851443886756897,0.7050517759923468,0.9985297670854181,0.9985297670854181,0.9985297670854181,False,False
18,6e1f5a99acea327c4a854d0a6f1d6cd1,ea2261383751d36121242f9f70fd52ea,lost sounds,peach kelli pop,0.9998789539814211,0.9416235089302063,0.80506914118799,0.9998529228545424,0.9998529228545424,0.9998529228545424,False,False
19,ea2261383751d36121242f9f70fd52ea,76e304dcf2449bdd3a8a48f0daeacb11,peach kelli pop,sebadoh,0.9995776165207845,0.6336906552314758,0.5846530995562184,0.9996367850468768,0.9996367850468768,0.9996367850468768,False,False
20,76e304dcf2449bdd3a8a48f0daeacb11,695c61312cb06a6e117bce4aec9e7adf,sebadoh,balkans,0.9996197191603241,0.8003793954849243,0.7323828137902891,0.9994796182339513,0.9994796182339513,0.9994796182339513,False,False
21,695c61312cb06a6e117bce4aec9e7adf,e4ee2728c71adc47686c5169c4a0151e,balkans,daniele luppi parquet courts,0.9998912578245054,0.9298521876335144,0.8551945613363514,0.9995443117806267,0.9995443117806267,0.9995443117806267,False,False
22,e4ee2728c71adc47686c5169c4a0151e,999c053697e39376f9c0a7f7041d7ae5,daniele luppi parquet courts,dinosaur jr,0.9994890195816992,0.8424274325370789,0.6912889715571627,0.9999506003748411,0.9999506003748411,0.9999506003748411,False,False
23,999c053697e39376f9c0a7f7041d7ae5,287343f8eb786458e7a8868f75fbb78e,dinosaur jr,100 flowers,0.9998190564376389,0.46445736289024353,0.6359117790957316,0.9997678725377824,0.9997678725377824,0.9997678725377824,False,False
24,287343f8eb786458e7a8868f75fbb78e,51a3b88614e763d1eba1b5f425034ba6,100 flowers,pavement,0.9994474310137075,0.32982417941093445,0.7652106293906306,0.999258692022319,0.999258692022319,0.999258692022319,False,False
25,51a3b88614e763d1eba1b5f425034ba6,012bc46f5d8d23a37f9018169c421727,pavement,built to spill,0.9999062408089457,0.9563584923744202,0.7272242737208454,0.9996142425311844,0.9996142425311844,0.9996142425311844,False,False
26,012bc46f5d8d23a37f9018169c421727,76b7a28cb4419dd36ab5aa0b25cb3b90,built to spill,vv torso,0.9997413887797387,0.8223575353622437,0.8105258734119052,0.9996166357231739,0.9996166357231739,0.9996166357231739,False,False
27,76b7a28cb4419dd36ab5aa0b25cb3b90,c22dcbf10eb03e1ece19016caa8e4c66,vv torso,the beets,0.9975112259792192,0.761669933795929,0.6945025284079082,0.9976223933417623,0.9976223933417623,0.9976223933417623,False,False
28,c22dcbf10eb03e1ece19016caa8e4c66,7cc355c02780501393bcae63ef8d9c66,the beets,ride,0.9945476842734088,0.8112065196037292,0.5985417889887107,0.9934666977824995,0.9934666977824995,0.9934666977824995,False,False
