position,track_id,artist_key,artist_name,title,duration_ms,seed_sim,genres
0,245605408d2c8a532b13ca6a71b1352f,built to spill,Built to Spill,Carry the Zero,,1.0,
1,b3140aebd8d8cbd391209b2d78369324,dinosaur jr,Dinosaur Jr,Repulsion,,0.8169762512939972,
2,7cc355c02780501393bcae63ef8d9c66,ride,Ride,Seagull,,0.7954190067623708,
3,9cbac1c89128439b4295e6c4fcb30644,marcy playground,Marcy Playground,Poppies,,0.6434286850893705,
4,83dd1db82be5a4883f2ce3faa7fddb60,pavement,Pavement,Price Yeah!,,0.767473323871381,
5,630515151041e51415cb238590bcead0,dead kennedys,Dead Kennedys,Anarchy For Sale,,0.6490179966638777,
6,fd8308d34f9412595dcb45904654acf7,fugazi,Fugazi,Great Cop,,0.8521432430332183,
7,fcc193d39d00aff531acf81b25c5b73f,everyone asked about you,Everyone Asked About You,Solitaire,,0.7227707807329418,
8,600266312a0bd1e438683d21c3481eca,built to spill,Built to Spill,Center of the Universe,,0.632814873904106,
9,dd0b1c07b3be7d18dcf857b0f7979ab4,krill,Krill,This Morning,,0.8268989270008389,
10,695c61312cb06a6e117bce4aec9e7adf,balkans,Balkans,Troubled and Done (Demo),,0.8757236400794635,
11,2abb7004d6a6f55a49991ae23ddf487a,teen suicide,teen suicide,benzo,,0.7014009152255337,
12,46e7089415aa183a6609c8a99f852610,ramones,Ramones,I Don't Wanna Go Down to the Basement,,0.6412780967011321,
13,76b7a28cb4419dd36ab5aa0b25cb3b90,vv torso,VV Torso,Blood,,0.6642250269016613,
14,7de6c966faa120ccb0693c432744dfb3,jay reatard,Jay Reatard,Man of Steel,,0.653956082479927,
15,9165831a02d3a697131666ca6ff18f67,tyvek,Tyvek,Underwater 1,,0.7159590192538768,
16,55cf3200e378f113f8df51b8ea4e1ab2,built to spill,Built to Spill,You Were Right,,0.8305916893352229,
17,89daf842e8aabf7d0a76f6ea029fe72e,jouska,Jouska,crease,,0.800660430189983,
18,287343f8eb786458e7a8868f75fbb78e,100 flowers,100 Flowers,Poltergeists At Home,,0.7793938574174909,
19,0912b463fe6da8da74627bf5d66f1875,dinosaur jr,Dinosaur Jr,Gargoyle,,0.45473895560470945,
20,2159e4ef2d0c225d46d22f58f9125f1c,blitzen trapper,Blitzen Trapper,Miss Spiritual Tramp,,0.6328437703729043,
21,1118935542e8e4603fb5ea16113ad566,wet leg,Wet Leg,Oh No,,0.7153721150476127,
22,c2f3dcfac30d5b31dd94ea8a04f02504,clap your hands say yeah,Clap Your Hands Say Yeah,Some Loud Thunder,,0.7288435989002653,
23,012bc46f5d8d23a37f9018169c421727,built to spill,Built to Spill,Strange,,0.7712817475174597,
24,ea2261383751d36121242f9f70fd52ea,peach kelli pop,Peach Kelli Pop,Big Man,,0.6807183085736072,
25,052635cf2d4084215b1f947dfec4d9f3,the get up kids,The Get Up Kids,Red Letter Day,,0.6883252674913979,
26,28d60adf14fff6bdaac0dc62f2353609,the replacements,The Replacements,Nowhere Is My Home (Alternate Mix),,0.7558186346995366,
27,d5ccb46e1cbea10a4b80347480cda6f0,ride,Ride,Chelsea Girl,,0.5552729196711178,
28,679eb67e6ac585decd1714a8e039cc3c,unwound,Unwound,Accidents On Purpose,,0.6049797365513023,
29,999c053697e39376f9c0a7f7041d7ae5,dinosaur jr,Dinosaur Jr,Does It Float,,0.6882580632388516,
