position,track_id,artist_key,artist_name,title,duration_ms,seed_sim,genres
0,6182c7ec624e31b883575ee19284a334,fela kuti africa 70,Fela Kuti & Africa 70,Jeun Ko Ku (Chop ’n’ Quench),,1.0,
1,4af6044b63a891fa08fee53dbf75c016,fela kuti afrika 70,Fela Kuti & Afrika 70,Observation is No Crime,,0.7457769167627379,
2,f518fe43629fadcdc6c362b32286894a,sonny carter,Sonny Carter,Step Out,,0.3752297413689766,
3,a4d35f7415636d2e767be827645b2c21,leland whitty,Leland Whitty,Glass Moon,,0.6775884416595234,
4,f9a33f28d780dd9153edb2f30dcb68b2,eula cooper,Eula Cooper,Standing By Love,,0.8066382832576033,
5,932ce04ae6a2de77a50a1187f88218a8,soul partners,Soul Partners,Lose The One You Love,,0.8313991172950297,
6,e53e10ff029f911db35190d8a7d02ad7,penny north,Penny North,Thought I Had A Good Thing,,0.888978358415323,
7,495fb68235091f6cc5dfe84401b96d28,fela kuti africa 70,Fela Kuti & Africa 70,Everthing Scatter,,0.485084285135059,
8,367d5214068b245965d07355a1224b2f,los brito,Los Brito,El 4-5-6,,0.4904359730866361,
9,8d524c00023e9bd70909b5ecb52e504b,horse jumper of love,Horse Jumper of Love,Bagel Breath,,0.6959618529103218,
10,c185c1ee9e799c896715e5f611c571e5,unknown:c185c1ee9e799c896715e5f611c571e5,新津彰夫,流れ星,,0.8177467905580909,
11,17fee6ad40c5548d5b7febc8a53c3834,cecil wary,Cecil Wary,World News,,0.5304206554120993,
12,ddf85877bc695ad205fac269d949feb7,the sensations,The Sensations,Oh Girl,,0.6389128868408079,
13,800c5026d2655cff19e90b68d1e3d096,into new dimensions,Into New Dimensions,Stay Sweet,,0.8372912627828729,
14,f7a8f022642bdb87c74739e9f4547082,vondors,Vondors,Look In The Mirror,,0.8645068752148178,
15,1ea28b5cb07e2426dcec08a4d0b282ef,osees thee oh sees,Osees & Thee Oh Sees,Toadstool,,0.7781137218866462,
16,6ca7a1a8e929c63c9ed37316e65d637b,pijama piyama,Pijama Piyama,Se Rompió La Salsa,,0.8144303673596721,
17,365026d135fe185f88cb8794cb31e735,sammy jones,Sammy Jones,You've Got To Show Me,,0.8096739680224561,
18,be4a0ab0f76b75501cdc979abcb10e74,lomelda more eaze,Lomelda & More Eaze,In Another Life,,0.7776618253860916,
19,91c13367d4b4526e0ea51e17bf6007da,ali chukwumah his peace makers international,Ali Chukwumah & His Peace Makers International,Henrietta,,0.8264968673054922,
20,49841a6f610a9e97b845d6aa29efee0e,guy friend,Guy Friend,sweat (dirty master),,0.7922711144998925,
21,10691111117a5ede432ebdea51cc2c79,chief checker,Chief Checker,Africa Irie,,0.7743522481289029,
22,4710b165691a2a325e304d479ec90fc2,fela kuti africa 70,Fela Kuti & Africa 70 feat. Sandra Akanke Isidore,Upside Down,,0.7227060828423428,
23,0e050d3987a6d2dc6d9b4f973f4af564,masayoshi takanaka,Masayoshi Takanaka,Bamboo Vendor,,0.7404189204439253,
24,f4e9f3a3fcf938b088db2cccb7d6a3fb,unknown:f4e9f3a3fcf938b088db2cccb7d6a3fb,新津彰夫,星たちのラグタイム,,0.7037605969187642,
25,809f95fdd34b707ef964b5b2333e35c0,juan formel los van van,Juan Formel & Los Van Van,"Llegue, Llegue",,0.7750764649092454,
26,9c409083bb8e277cc7c022fd6bccf1ef,jesse fisher,Jesse Fisher,Why,,0.6615199098176812,
27,20aa6967687aa0e0aa92e3c9dc9515e3,the exceptional three,The Exceptional Three,What About Me,,0.7268973244501981,
28,de1e056bf2fbd740fd6d553976751aca,a c jones the atomic aces,A.C. Jones & The Atomic Aces,Oh Baby (I Love You),,0.5722035494089333,
29,22e149d27c714b40d8cfe61742d69f08,les fr res soki et l orchestre bella bella,Les Frères Soki et L'Orchestre Bella-Bella,Nganga,,0.6452965703483596,
