position,prev_track_id,next_track_id,prev_artist,next_artist,sonic_sim,genre_sim,hybrid_sim,transition_sim,transition_raw,transition_centered,below_floor,same_artist
0,1c347ff04e65adf7923a9e3927ab667a,4af6044b63a891fa08fee53dbf75c016,fela kuti africa 70,fela kuti afrika 70,0.9989708860825539,0.8535892963409424,0.7457769167627379,0.9910302533789282,0.9910302533789282,0.9910302533789282,False,False
1,4af6044b63a891fa08fee53dbf75c016,f518fe43629fadcdc6c362b32286894a,fela kuti afrika 70,sonny carter,0.999114090093875,0.5256859064102173,0.3752297413689766,0.9980956214232495,0.9980956214232495,0.9980956214232495,False,False
2,f518fe43629fadcdc6c362b32286894a,a4d35f7415636d2e767be827645b2c21,sonny carter,leland whitty,0.9997250211767958,0.6642509698867798,0.6775884416595234,0.9991040929792984,0.9991040929792984,0.9991040929792984,False,False
3,a4d35f7415636d2e767be827645b2c21,f9a33f28d780dd9153edb2f30dcb68b2,leland whitty,eula cooper,0.9992402965143111,0.6642509698867798,0.8066382832576033,0.9995301157880465,0.9995301157880465,0.9995301157880465,False,False
4,f9a33f28d780dd9153edb2f30dcb68b2,932ce04ae6a2de77a50a1187f88218a8,eula cooper,soul partners,0.9998292262659815,0.9999999403953552,0.8313991172950297,0.9995120177482083,0.9995120177482083,0.9995120177482083,False,False
5,932ce04ae6a2de77a50a1187f88218a8,e53e10ff029f911db35190d8a7d02ad7,soul partners,penny north,0.9997635947310072,0.9999999403953552,0.888978358415323,0.9994608234125433,0.9994608234125433,0.9994608234125433,False,False
6,e53e10ff029f911db35190d8a7d02ad7,495fb68235091f6cc5dfe84401b96d28,penny north,fela kuti africa 70,0.9988375240143976,0.5256859064102173,0.485084285135059,0.9991519772655746,0.9991519772655746,0.9991519772655746,False,False
7,495fb68235091f6cc5dfe84401b96d28,367d5214068b245965d07355a1224b2f,fela kuti africa 70,los brito,0.9997289299875598,0.5256859064102173,0.4904359730866361,0.9994903172108586,0.9994903172108586,0.9994903172108586,False,False
8,367d5214068b245965d07355a1224b2f,8d524c00023e9bd70909b5ecb52e504b,los brito,horse jumper of love,0.9992806071885484,0.9999999403953552,0.6959618529103218,0.9995808886042691,0.9995808886042691,0.9995808886042691,False,False
9,8d524c00023e9bd70909b5ecb52e504b,c185c1ee9e799c896715e5f611c571e5,horse jumper of love,unknown:c185c1ee9e799c896715e5f611c571e5,0.9988815945436119,0.9999999403953552,0.8177467905580909,0.9990942750385351,0.9990942750385351,0.9990942750385351,False,False
10,c185c1ee9e799c896715e5f611c571e5,bd36f1331ce39c7681988b5a82ac77c1,unknown:c185c1ee9e799c896715e5f611c571e5,the squad,0.9976655320425654,0.9999999403953552,0.5304206554120993,0.9905205693829513,0.9905205693829513,0.9905205693829513,False,False
11,bd36f1331ce39c7681988b5a82ac77c1,ddf85877bc695ad205fac269d949feb7,the squad,the sensations,0.9990808903641244,0.9999999403953552,0.6389128868408079,0.9984649134541792,0.9984649134541792,0.9984649134541792,False,False
12,ddf85877bc695ad205fac269d949feb7,800c5026d2655cff19e90b68d1e3d096,the sensations,into new dimensions,0.9997486996580285,0.9999999403953552,0.8372912627828729,0.9991790778472451,0.9991790778472451,0.9991790778472451,False,False
13,800c5026d2655cff19e90b68d1e3d096,f7a8f022642bdb87c74739e9f4547082,into new dimensions,vondors,0.9996057650736546,0.9999999403953552,0.8645068752148178,0.9996787214529416,0.9996787214529416,0.9996787214529416,False,False
14,f7a8f022642bdb87c74739e9f4547082,1ea28b5cb07e2426dcec08a4d0b282ef,vondors,osees thee oh sees,0.9988811873961997,0.9999999403953552,0.7781137218866462,0.999503211688739,0.999503211688739,0.999503211688739,False,False
15,1ea28b5cb07e2426dcec08a4d0b282ef,6ca7a1a8e929c63c9ed37316e65d637b,osees thee oh sees,pijama piyama,0.9999166727564447,0.9999999403953552,0.8144303673596721,0.9982024810000145,0.9982024810000145,0.9982024810000145,False,False
16,6ca7a1a8e929c63c9ed37316e65d637b,365026d135fe185f88cb8794cb31e735,pijama piyama,sammy jones,0.9983106848812705,0.9999999403953552,0.8096739680224561,0.9989072108473664,0.9989072108473664,0.9989072108473664,False,False
17,365026d135fe185f88cb8794cb31e735,be4a0ab0f76b75501cdc979abcb10e74,sammy jones,lomelda more eaze,0.99958007114362,0.9999999403953552,0.7776618253860916,0.9987306218109904,0.9987306218109904,0.9987306218109904,False,False
18,be4a0ab0f76b75501cdc979abcb10e74,91c13367d4b4526e0ea51e17bf6007da,lomelda more eaze,ali chukwumah his peace makers international,0.9992084957583313,0.9999999403953552,0.8264968673054922,0.9967346766970028,0.9967346766970028,0.9967346766970028,False,False
19,91c13367d4b4526e0ea51e17bf6007da,49841a6f610a9e97b845d6aa29efee0e,ali chukwumah his peace makers international,guy friend,0.9993849524634686,0.9999999403953552,0.7922711144998925,0.9971659284050536,0.9971659284050536,0.9971659284050536,False,False
20,49841a6f610a9e97b845d6aa29efee0e,10691111117a5ede432ebdea51cc2c79,guy friend,chief checker,0.9987803518106657,0.9999999403953552,0.7743522481289029,0.9995633156421242,0.9995633156421242,0.9995633156421242,False,False
21,10691111117a5ede432ebdea51cc2c79,fe86302a2ef27d712ad24a3da23a66e2,chief checker,jay dee,0.9978686086697899,0.9999999403953552,0.7227060828423428,0.9989942815016538,0.9989942815016538,0.9989942815016538,False,False
22,fe86302a2ef27d712ad24a3da23a66e2,0e050d3987a6d2dc6d9b4f973f4af564,jay dee,masayoshi takanaka,0.9970810916561295,0.9999999403953552,0.7404189204439253,0.9925543040244692,0.9925543040244692,0.9925543040244692,False,False
23,0e050d3987a6d2dc6d9b4f973f4af564,f4e9f3a3fcf938b088db2cccb7d6a3fb,masayoshi takanaka,unknown:f4e9f3a3fcf938b088db2cccb7d6a3fb,0.9994736222053,0.9999999403953552,0.7037605969187642,0.9983733189594363,0.9983733189594363,0.9983733189594363,False,False
24,f4e9f3a3fcf938b088db2cccb7d6a3fb,809f95fdd34b707ef964b5b2333e35c0,unknown:f4e9f3a3fcf938b088db2cccb7d6a3fb,juan formel los van van,0.9982614810922333,0.9999999403953552,0.7750764649092454,0.9988586219108404,0.9988586219108404,0.9988586219108404,False,False
25,809f95fdd34b707ef964b5b2333e35c0,9c409083bb8e277cc7c022fd6bccf1ef,juan formel los van van,jesse fisher,0.999356701436473,0.9999999403953552,0.6615199098176812,0.9992628905005376,0.9992628905005376,0.9992628905005376,False,False
26,9c409083bb8e277cc7c022fd6bccf1ef,20aa6967687aa0e0aa92e3c9dc9515e3,jesse fisher,the exceptional three,0.9992646428183513,0.9999999403953552,0.7268973244501981,0.9990687365008712,0.9990687365008712,0.9990687365008712,False,False
27,20aa6967687aa0e0aa92e3c9dc9515e3,de1e056bf2fbd740fd6d553976751aca,the exceptional three,a c jones the atomic aces,0.9996209784168353,0.9999999403953552,0.5722035494089333,0.9998013540777934,0.9998013540777934,0.9998013540777934,False,False
28,de1e056bf2fbd740fd6d553976751aca,22e149d27c714b40d8cfe61742d69f08,a c jones the atomic aces,les fr res soki et l orchestre bella bella,0.9997624575963673,0.9999999403953552,0.6452965703483596,0.9997288150173784,0.9997288150173784,0.9997288150173784,False,False
