Abeti et les Redoutables	Congo Funk! - Sound Madness From The Shores Of The Mighty Congo River (Kinshasa/​​Brazzaville 1969​-​1982)	no_match	
Aborted at Line 6	Intenta: Experimental & Electronic Music from Switzerland 1981-93	no_match	
Admiral Dele Abiodun & His Top Hitters International	Nigeria 70 - Sweet Times - Afro-Funk, Highlife & Juju From 1970s Lagos	no_match	
Adrianne Lenker	TRANSA	no_match	
African Fiesta Sukisa	Congo Revolution	no_match	
African Jazz	Congo Revolution	no_match	
Afro Cult Foundation	Nigeria 70: The Definitive Story of 1970s Funky Lagos	no_match	
Ahmad Jamal Trio	The Awakening [MCA Impulse! MCAD-5644 JVC-464]	no_match	
Air	Lost In Translation (Music From The Motion Picture Soundtrack)	no_match	
Air Project 	Intenta: Experimental & Electronic Music from Switzerland 1981-93	no_match	
Airport People	LP Masters	no_match	
Akio / Okihide	Virtual Dreams II - Ambient Explorations In The House & Techno Age, Japan 1993-1999	no_match	
Akira Inoue, Hiroshi Sato, Masataka Matsutoya	Pacific Breeze: Japanese City Pop, AOR & Boogie 1976-1986	no_match	
Akira Rabelais	Avalon Sutra	no_match	
Alan Palomo feat. Flore Benguigui	World of Hassle	no_match	
Alan Palomo feat. Mac DeMarco	World of Hassle	no_match	
Albert King	Stax Christmas	no_match	
Alec André Ruvalcaba	Musicians for a Free Palestine	no_match	
Alejandro Franov	Dinner Music For Clubbers: Peter Grummich Plays Staubgold	no_match	
Alex and the Moondaze	Musicians for a Free Palestine	no_match	
Ali Chukwumah & His Peace Makers International	Nigeria 70 - Sweet Times - Afro-Funk, Highlife & Juju From 1970s Lagos	no_match	
Ali Dineen	Musicians for a Free Palestine	no_match	
Allegra Krieger	Circles	no_match	
Allison Russell & Ahya Simone	TRANSA	no_match	
Amanda Whiting feat. Chip Wickham	The Liminality of Her (Deluxe Edition)	no_match	
Ambient 7	Virtual Dreams II - Ambient Explorations In The House & Techno Age, Japan 1993-1999	no_match	
Amiina	Ágætis byrjun (A Good Beginning) [20th Anniversary Deluxe Edition]	no_match	
Amor de Dias	The House in the Sea	no_match	
Ana Roxanne & Nsámbu Za Suékama	TRANSA	no_match	
Anajah & Gary Gunn	TRANSA	no_match	
Andreas Hofer 	Intenta: Experimental & Electronic Music from Switzerland 1981-93	no_match	
Andrew Hill	Blue Note 75 (75th Anniversary MQS Collection)	no_match	
Andrew Pekler	Dinner Music For Clubbers: Peter Grummich Plays Staubgold	no_match	
André 3000	TRANSA	no_match	
Angela Alexander & J. D. Saddler	Boddie Recording Company: Cleveland, Ohio (Disc 1: Soul Kitchen)	no_match	
Animal Collective	Fall Be Kind	fetch_error	404 Client Error: Not Found for url: https://api.discogs.com/releases/2068601
Ann Annie	El Prado	no_match	
Anri	Pacific Breeze Volume 2: Japanese City Pop, AOR & Boogie 1972-1986	no_match	
Anthony Renfro	Eccentric Soul: The Renfro Label	no_match	
Aphex Twin	Blackbox Life Recorder 21f / In A Room7 F760 EP	no_match	
Archetype	Trace Elements Vol. 3	no_match	
Archy Marshall (feat. Jamie Isaac)	A New Place 2 Drown	no_match	
Ariana Grande feat Lil Wayne	Dangerous Woman	no_match	
Ariana Grande feat Macy Gray	Dangerous Woman	no_match	
Ariana Grande feat Nicki Minaj	Dangerous Woman	no_match	
Ariana Grande feat. Missy Elliott	Sweetener	no_match	
Ariana Grande feat. Nicki Minaj	Sweetener	no_match	
Ariana Grande feat. Pharrell Williams	Sweetener	no_match	
Armageddon Experimental Band	Program 2: Electric Musings from the Hoosier Flatlands & Other Distant Zones	no_match	
Art Blakey & The Jazz Messengers	Blue Note 75 (75th Anniversary MQS Collection)	no_match	
Art Blakey and The Jazz Messengers	Blue Note 75 (75th Anniversary MQS Collection)	no_match	
Art Ensemble Of Chicago	Soul Of A Nation 2 (Jazz Is The Teacher Funk Is The Preacher: Afro-Centric Jazz, Street Funk And The Roots Of Rap In The Black Power Era 1969-75)	no_match	
Artche	Quattro III - Soundscape	no_match	
Arthur Baker	TRANSA	no_match	
Ashanti Afrika Jah	Nigeria 70: Lagos Jump - Original Heavyweight Afrobeat Highlife & Afro-Funk	no_match	
Asher White, Eli Winter, & Caroline Rose	TRANSA	no_match	
Associated Press	Eccentric Soul: Capitol City Soul	no_match	
Atsuko Nina	Pacific Breeze 3: Japanese City Pop, AOR & Boogie 1975-1986	no_match	
Aubrey Fry	Quattro III - Redux	no_match	
Aubrey Fry	Quattro III - Soundscape	no_match	
Aubrey Fry 	Quattro III - Redux	no_match	
Augustus Pablo	King Tubbys Meets Rockers Uptown [Jet Star/Rockers Intl CDRP 005]	no_match	
Aunt Katrina	This Heat is Slowly Killing Me	no_match	
Automatic	Soul Jazz Records Presents Two Synths A Guitar (And) A Drum Machine - Post Punk Dance Vol.1	no_match	
Automelodi	Holodeck Vision One	no_match	
Ava Luna	Ava Luna performs....Serge Gainsbourg's Histoire de Melody Nelson	no_match	
Ava Max	Barbie the Album (Best Weekend Ever Edition)	no_match	
Awakening	Maybe I'm Dreaming	no_match	
Azymuth	Welcome 2 Detroit - The 20th Anniversary Edition	no_match	
B - Vision & Dimitri Nakov	Quattro III - Breaks	no_match	
BEAK>	>> (Bonus tracks) [Invada, INV107SP]	no_match	
BEAK>	>> [Invada, INV107SP]	no_match	
Babehoven	Musicians for a Free Palestine	no_match	
Baby Huey	Soul Of A Nation 2 (Jazz Is The Teacher Funk Is The Preacher: Afro-Centric Jazz, Street Funk And The Roots Of Rap In The Black Power Era 1969-75)	no_match	
Babylon Timewarp	Soul Jazz Records presents BLACK RIOT: Early Jungle, Rave and Hardcore	no_match	
