arc_strength_bucket,audit_path,beam_width,below_floor_count,bridge_raw_sonic_sim_mean,bridge_raw_sonic_sim_min,candidate_pool_after_dedupe,candidate_pool_size,composite_score,genre_cache_hit_rate,genre_cache_missing,genre_tie_break_band,jumpiness_bucket,label,max_jump,mean_seg_distance,mean_transition,min_seg_distance,min_transition,mode,monotonic_violations,overlap_jaccard,p50_arc_dev,p90_arc_dev,posthoc_missing,progress_arc_autoscale_enabled,progress_arc_autoscale_per_step_scale,progress_arc_enabled,progress_arc_huber_delta,progress_arc_loss,progress_arc_max_step,progress_arc_max_step_mode,progress_arc_tolerance,progress_arc_weight,raw_sonic_sim_mean,raw_sonic_sim_min,run_index,runtime_s,sample_n,sample_seed,seed_track_id,soft_genre_penalty_edges_scored,soft_genre_penalty_hits,tracklist_hash
high,docs\diagnostics\run_audits\ds_dynamic_20260106T212525Z_5fdb0e14.md,50,0,0.8479889664047261,0.7535776195429428,10602,1200,1.5403,,True,0.02,tight,arc_w0.75_t0.0_abs_m0.1_autoFalse_tb0.02_beam50,0.17613776332327036,1.366809655863437,0.8370226745106146,1.2529480284218417,0.7086036127622041,dynamic,2,,0.1745801465890185,0.340432965627282,False,False,True,True,0.1,abs,0.1,penalty,0.0,0.75,0.8452824632924976,0.7535776195429428,0,3.478,,,b262f479713af81acff1f20b3a2a43d7,210265,5,d3116c8eb1f4a695fb7c41b32b641e5c0a5fbc88934be41f0b101712de1ab996
high,docs\diagnostics\run_audits\ds_dynamic_20260106T212528Z_53c09e56.md,50,0,0.8283608081659447,0.7240783731482865,9862,1200,-1.806,,True,0.02,tight,arc_w0.75_t0.0_abs_m0.1_autoFalse_tb0.02_beam50,0.24959600574732277,1.366809655863437,0.8269936812510589,1.2529480284218417,0.7100596271568683,dynamic,7,,0.20743901536553636,0.36961811830256086,False,False,True,True,0.1,abs,0.1,penalty,0.0,0.75,0.8283608081659447,0.7240783731482865,0,3.433,,,486803832f3fc21eb7fa4512a0283554,207118,220,c40867d2d3581c5d75c4ac8ebc7c926711b1be8160755b07e6c20f130af917b2
high,docs\diagnostics\run_audits\ds_dynamic_20260106T212532Z_5d39cd28.md,50,0,0.8446405636933957,0.6343020234150984,10840,1200,0.022,,True,0.02,tight,arc_w0.75_t0.0_abs_m0.1_autoFalse_tb0.02_beam50,0.17613776332327036,1.366809655863437,0.833386025073402,1.2529480284218417,0.6129102490718297,dynamic,6,,0.2192099496484453,0.40679409147637746,False,False,True,True,0.1,abs,0.1,penalty,0.0,0.75,0.8436874354674799,0.6343020234150984,0,3.292,,,09daedfeff5751c11bd5a39b97475425,182323,1,e6e052df46509e66b7a159d7e158e985172e2dd4a41518b7e7486e9d4798b2f2
extreme,docs\diagnostics\run_audits\ds_dynamic_20260106T212535Z_e0a6152e.md,,0,0.6944027010922482,0.3955060103485438,10602,1200,-1.8765,,True,0.02,moderate,arc_w1.5_t0.05_abs_m0.2_autoFalse_tb0.02_beamNone,0.19716760993017682,1.366809655863437,0.969675079369635,1.2529480284218417,0.923967647928378,dynamic,6,,0.1477860293917474,0.3106680293809252,False,False,True,True,0.1,abs,0.2,penalty,0.05,1.5,0.6944027010922482,0.3955060103485438,0,2.483,,,b262f479713af81acff1f20b3a2a43d7,95555,1,c6a1f2532476715952c7b1660941b8c91fbbe3a66358d73ceaef0271cbc7cdac
extreme,docs\diagnostics\run_audits\ds_dynamic_20260106T212538Z_0f074c88.md,,0,0.697570388231649,0.3382076170986094,9862,1200,-0.4656,,True,0.02,moderate,arc_w1.5_t0.05_abs_m0.2_autoFalse_tb0.02_beamNone,0.15788084485332976,1.3873667349032488,0.9707228892588172,1.2529480284218417,0.890843125618403,dynamic,4,,0.1444522353771712,0.29813214125839743,False,False,True,True,0.1,abs,0.2,penalty,0.05,1.5,0.697570388231649,0.3382076170986094,0,2.427,,,486803832f3fc21eb7fa4512a0283554,94865,103,f92bae6baa7b44b88b534c4f3b6ff28117aa897666988fb0054f482cd722513d
extreme,docs\diagnostics\run_audits\ds_dynamic_20260106T212540Z_cf5c1fe4.md,,0,0.736038114698668,0.37890212046114924,10840,1200,-0.5982,,True,0.02,moderate,arc_w1.5_t0.05_abs_m0.2_autoFalse_tb0.02_beamNone,0.19113796131290406,1.4126897037770503,0.9751382039202184,1.2529480284218417,0.9462119126854238,dynamic,6,,0.14132587472484107,0.2824982540294024,False,False,True,True,0.1,abs,0.2,penalty,0.05,1.5,0.736038114698668,0.37890212046114924,0,2.49,,,09daedfeff5751c11bd5a39b97475425,90639,0,84f9c7b15a675edbf2486e03016eb53808feb3fd3c9746bd39e7943299a0a1f4
extreme,docs\diagnostics\run_audits\ds_dynamic_20260106T212543Z_e51416a5.md,10,0,0.8317170777768638,0.6827701884564017,10602,1200,2.2656,,True,0.02,tight,arc_w1.5_t0.08_abs_m0.15_autoFalse_tb0.02_beam10,0.17613776332327036,1.366809655863437,0.8272651257536618,1.2529480284218417,0.6870145838857191,dynamic,3,,0.17267414574460205,0.3111718933037894,False,False,True,True,0.1,abs,0.15,penalty,0.08,1.5,0.8339251567055113,0.6827701884564017,0,2.154,,,b262f479713af81acff1f20b3a2a43d7,44771,0,0b52d779e87b8f00d8fdfd9214e5ae4695a3478c7860e74e5c8b5413b67978a5
extreme,docs\diagnostics\run_audits\ds_dynamic_20260106T212545Z_7e57f08e.md,10,0,0.8177797350607425,0.6604160308918139,9862,1200,-1.5209,,True,0.02,tight,arc_w1.5_t0.08_abs_m0.15_autoFalse_tb0.02_beam10,0.24959600574732277,1.366809655863437,0.8180294079692172,1.2529480284218417,0.6277047182428972,dynamic,8,,0.20329644211745465,0.36961811830256086,False,False,True,True,0.1,abs,0.15,penalty,0.08,1.5,0.8177797350607425,0.6604160308918139,0,2.062,,,486803832f3fc21eb7fa4512a0283554,43750,41,24d3269545bb25e3507a1042d7b6fd2eaee880fff610b4168b3391cd84c78c65
extreme,docs\diagnostics\run_audits\ds_dynamic_20260106T212547Z_c4d7642f.md,10,0,0.8401022432184692,0.6343020234150984,10840,1200,1.9864,,True,0.02,tight,arc_w1.5_t0.08_abs_m0.15_autoFalse_tb0.02_beam10,0.17613776332327036,1.366809655863437,0.8250068326603119,1.2529480284218417,0.6011875068932697,dynamic,3,,0.19161384513442625,0.31951409335145897,False,False,True,True,0.1,abs,0.15,penalty,0.08,1.5,0.8372347260850387,0.6275811156964136,0,2.117,,,09daedfeff5751c11bd5a39b97475425,40732,0,7b5cce4454dff67c983760f119bf0a41c9e822d53207d3080499586666e322c0
extreme,docs\diagnostics\run_audits\ds_dynamic_20260106T212549Z_2b77a33b.md,10,0,0.8317170777768638,0.6827701884564017,10602,1200,2.2978,,True,0.02,tight,arc_w1.5_t0.08_abs_m0.15_autoTrue_tb0.02_beam10,0.17613776332327036,1.366809655863437,0.8272651257536618,1.2529480284218417,0.6870145838857191,dynamic,3,,0.17267414574460205,0.3111718933037894,False,True,True,True,0.1,abs,0.15,penalty,0.08,1.5,0.8339251567055113,0.6827701884564017,0,2.09,,,b262f479713af81acff1f20b3a2a43d7,44771,0,0b52d779e87b8f00d8fdfd9214e5ae4695a3478c7860e74e5c8b5413b67978a5
